comments,star
特别搞笑 很多笑点都是反差萌,5
孩子王应该是越南裔 也没有很出格 无非就是粗口地狱 小孩子们演得也比较尴尬 特别是结尾的重聚 大写的为赋新词强说愁 相比电影 还是现实中的十几岁更为可怕 黄丝蟑螂蒙面党 街头暴力主力军 强奸杀人毁尸灭迹 学法用法合理避险 ,3
一群主演演了一部自己不能看的电影哈哈哈哈哈,4
三个毛还没长齐的娃演了一部R级电影 用小奶音说了一堆F words 简直太好笑了 爆笑片段非常多 但内核其实挺悲伤 本质是关于三个娃各自成长 分道扬镳的故事 开始选择和什么样的人hangout的时候 才是真正成长的时候 ,4
很好笑 小演员很可爱 几个tweens连child proof的药瓶子都拧不开 却很清醒地意识到没有医保去不起医院 胳膊摔脱臼了也只能自己上网找攻略照着掰  真实美国,4
看trailer时想哪个作父母的会让自己的小孩演这种电影 但真的好好笑啊    ,4
儿时好友迟早会分开 认识到这点才是长大的开始 打着R级片和儿童版 超级坏 的幌子 本质上依然很正直 黄污毒和屎屁尿都集中在预告了 充气娃娃为什么不系安全带233333,4
哈哈哈哈哈哈三个小屁孩儿看不了自己演的电影 ,3
 Bean Bag Boys for life  ,5
R级喜剧 儿童黄暴剧 三位小朋友演了自己无法看的电影 F开的粗口 性暗示 床上玩具 SM器具 卷入毒品交易 情节各种脱序 从小朋友的口中说脏话有种反差效果 奶声奶气的成人心态 未知领域的好奇探索 把简单成长系的电影拍的如此幽默洒脱 褪去稚嫩 开始长大 反观友情还在 但不会再一起不着调 儿时好友也迟早要分开 用轻松喜剧讲了个内核悲伤的故事 各自成长分道扬镳 需要与不同的人社交 拓展新的人生 儿时的回忆和玩伴就像是旧玩具 不是不爱 是要用心珍藏 简直是成年人缅怀青春的缩影 有欢笑有懵懂 有喜悦还有悲伤    ,3
我的天jacob竟然在这里面女友换了四个 最初的两个还成了一对 能看到越来越多的亚裔学校C位真是有点小刺激哈哈哈 说真的 主角三人就是网还没有上够才出这些岔子的哈哈哈哈哈 不过笑点有些地方有点接不上 可能因为最好笑的预告里都看过了吧 ,4
Thor的爸妈真的是对很会玩儿的couple   ,3
关于成人友谊的青少年微缩 倒真是和superbad一脉相承 没良心的笑点也很多 却因为孩子们 正直 的性认识 反倒是觉得身为成人有些猥琐了  ,3
当小屁孩遇上成人情趣用品      ,4
居然还不错 不是想象中那种屎尿屁性 笑点密集的同时整体还挺积极向上的 就是说教稍微生硬了点 ,4
真的是不能给小孩看 太污太危险 但很多地方确实很搞笑 电影院里笑声不断 三个小伙伴找到各自适合自己的群体 最后还是一个成长的故事  20191031 二刷字幕版 更能感受到那份青春的阵痛 片尾甚至想哭  ,4
非常搞笑 三个孩子演的R级喜剧 满屏脏话和充气娃娃 但内核却是每个人都必须经历的成长之路 很多儿时的好朋友最后都不会走到一起 但我们都给了对方最美好的童年和回忆 ,4
年度最佳,5
 Hey  Stranger Things  go fuck yourselves  hahaha,3
Cheap  stand by me   Comedy ver  strange things   Advertising for Dink anti marriage  Punch line every minute  I love it  ,4
预告已经把最好笑的部分都剪进去了,2
没有一个人演技在线 友情发展线植入得无比生硬 充斥着低级趣味梗却直到最后也没有对贯穿始终的性元素好好交代 从技术看完全是一部加长版预告片 说难听点可能就是一部找小孩来演的porn,2
非常意外的好看 可能正因为是R级 正因为孩子的萌差 反而直接把本片传达的所有感情和人生观照单全收 笑点非常密集 看过之后心情大好 ,5
 我该走了 寄居蟹总要长大 朋友只能陪你走一段路 忘恩负义是成熟的表现 不是定期淘汰一部分朋友 而是大家一起爬楼梯 有些人速度慢或者停滞了 然后就不在一个层次了 村上春树不去参加同学会的理由是 连我那会的自己现在看来都觉得讨厌  小女孩被推倒会喊疼 萝莉被推倒会问你想干什么 这群小伙子会穿戴整齐问你是不是恋童狂 ,5
