comments,star
狗狗们真的好可爱 被片中可爱的狗狗融化了 它们贡献了相当多的笑点 当然还有泪点 感动于狗狗对人类的陪伴 突然觉得有条狗是很幸福的事呢 养狗的人应该能在影片里得到很多共鸣 大概看完会更爱自己的狗狗吧 另外 很感动刘宪华饰演的Trent与女主的相互扶持 Trent好有魅力 幸亏最后的结局没让人失望,5
延续第一部故事发展 只不过这次守护对象从伊森换成他孙女CJ 依旧有小温情小治愈  相比第一部 这部则差了很多 一中四段狗生 一切都让人觉得很自然 情感恰到好处 最后回到伊森身边更像是一种天意 而这部三次轮回明显多了刻意的感觉  尽管死去 投胎转世一次又一次 但从始至终只认伊森一家 看尽狗生百态 终于明白 其他 主人 都不是主人 心疼这些所谓的 主人   在CJ和特伦特各都有另一半的情况下 这狗居然还能拆散各自对方另一半 想方设法让他俩在一起 一中也促进了伊森和汉娜在一起 看来这狗还能在恋爱婚姻上带来好运 这样的狗请立马给我也来一条  我 洛基 阿斯加德王子 奥丁之子 约顿海姆的正统君主 诡计之神 狗老大兄弟 emmm不好意思走错片场了  PS 据说买彩票的时候身边有一条狗的话 你会有好运哦 ,3
原本预期不高 因为之前从宣传资料了解到 2延续了1的套路  比如继续是以狗狗作为主叙事视角 继续是不断的轮回与重逢  然而 形  式的相似并不等于内容的雷同 毕竟不同的人有不同的人生 不同的狗有不同的 狗生   这次是围绕着主人伊森的孙女的成长及家庭关系展开 更注重表现人与狗  的相陪相伴 战胜了孤单 也战胜了人生中一个个不如意的坎 所传达出的阵阵温暖着实令人动容 尽管知道是电影刻意营造的Happy Ending 也依旧让人泪目 同时   影片结尾也承接了上一部 唤醒记忆情怀 也较好地表达了爱的传承主题 至于该片中那些 狗眼看人心 而让人忍俊不禁的笑料 也比1有过之而无不及 不足之处  就是续集整体结构的严谨性不如1   ,3
很完整 family friendly 好像在聽兒童故事書 每次生死離別都沒有太多鋪排 像趕著講下一個情節 愛狗之人一定會喜歡這部戲 我也喜歡可愛的狗狗 但沒有感動到    Henry第一次拍Hollywood studio電影 恭喜恭喜 ,3
程式不变 情感仍在的蜜糖片儿 虽说有些 为赋新词强说愁  但是恐狗症如我看到几次越背的跳跃都被感动了 很喜欢上一部的演员和故事 尤其是想到上一部饰演Hannah的Peggy离开人世更是百感交集  所以故事前半段还是熟悉的感动和温暖 但是年轻一代的男女主都很不喜欢 导致后面的故事也变得很难看     CJ 从MTV那部 寻找卡特 就是这张麻将脸 另外一个就   更不说了 ,3
看到大华那个瞬间我真的惊呆了  狗狗很可爱  剧情一般,3
嘤 想养条狗 然后让他帮我找对象  ,4
刘宪华欧巴比四只狗子加一块儿都可爱,2
换了导演之后 风格也很明显的变了 第一部的有些梗第二部没了 比如说恋爱的酸臭味 为了创造一个信物居然让狗狗听力也变得很厉害有点牵强 节奏前面有点慢  后面还好 不愧是 老友记 的导演 对于人与人之间的情感描写还是很好的 有点理解里面妈妈的情绪 不过没有第一部好哭了  但是还是不错的 要是电影院氛围可以 应该会有人一起笑一起哭 BTW大华的光头造型看了我笑出声哈哈哈为什么  哈哈哈哈哈哈,4
原著党的我 洛杉矶看过 国外反响很好 回国又点映看一遍 哭成 当然有泪也有笑  就不剧透了 自己去影院感受 整个故事走向温暖治愈 生命有轮回 我觉得是一件很美的事情 ,5
从无到有 任何生物从来到这个世界可以说记忆都是平等的 但当被赋予无法忘记的时候 记忆有时候和诅咒并无区别 心疼贝利三千次  ,2
工作卡 我没看过1 我觉得轻松治愈OK,4
我的关注点比较特别 格洛丽亚在自己还很年轻 对于抚养一个孩子完全没准备好的情况下生了CJ 以至于对她的抚养责任非常模糊 像CJ说的 几乎每天晚上都不在家 她害怕打雷的时候也不在 对CJ的关爱也很不足够 就觉得 生孩子这事真的太需要成熟和责任心 如果没有你就别生 而生了又无暇照顾 那就 马薇薇口吻 养条狗啊 ,2
一世学会了叼橄榄球 一世学会了嗅出癌症 一世寂寞平淡 一世守护轮回 伊桑认出了那是他的贝利贝利贝利 不管它是大是小 是公是母 守护的是一个诺言 付出的是几个轮回 无论是在窗台边 在便利店 在电梯里 对别人凶却偏偏对你投缘 人的一生狗的四世 你的旅途还很远 它到了终点 仍约定陪伴 ,2
CJ的嘴好出戏,2
我们狗粉的眼泪不值钱阿 大华真的是不同以往综艺里的样子 演了一个大暖男 天使狗子真的可爱 为什么我们柴柴不能出演 ,5
还不错 居然get 到了刘宪华的帅 book思议 贝利很可爱 想念伊森 不喜欢强行煽情 我没哭 ,3
看到Ethan和Bailey在一起的镜头就鼻酸,4
CJ和那个小竹马好婊好渣,3
还是熟悉的狗转世配方 还是熟悉的催泪味道 延续了前作套路 ,3
第一部当时在影院观看的 这部看得我全程无感 除了主人公由爷爷转到孙女 故事简直如出一辙 大同小异 贝利狗在终老前目睹了丧夫的伊森女儿带着孙女CJ去农场玩 闹不和后离开 贝利转世偶遇陪小伙伴前来领养狗狗的CJ百般迎合也被领养 女主妈妈嗜酒并花光丈夫赔偿金 CJ垃圾男友逐车报复贝利舍命相救 再转世成大狗等来女主却未被带走 最后转世在公园嗅到并跟随至女主 而且将她带到发小身旁 替换掉其垃圾女友 两人一块去农场看望爷爷奶奶 ,2
真是狗尾续貂 为了狗狗的轮回守护 把人与人之间的情感描述的如畜生一般 家人如此 朋友爱人如此 所有的矛盾与和解都强硬的让人出戏 上一秒接吻 下一秒谋杀 前脚相互扶持 后脚分崩离析 绕了一圈 最后再无一例外理想大团圆 被强行赋予台词和情感的狗狗只是欢乐和温暖的调剂 这样的好莱坞酸臭情感价值观一次次真的看腻了 并且越来越嫌恶 角色塑造简直是灾难 强行煽情毫无底线 拼命榨取宠物的商业价值 毫无纯真感毫无人性观 烂俗透顶 代入感几乎为零 这一集恕我无法打call   ,1
以人类视角来看一条狗的内心OS 就只是生生世世围着同一人转 以及 差评于原本只是普通玩伴最后非要强行凑对的一对人 ,2
看见大华 有一种我家儿子出息了的感觉,3
这种电影就是偷懒讨巧毫不费力地都能让人看得很开心 ,4
国际爱狗日特选 boss dog真是绝佳伙伴啊,3
亚裔的加入其实是件好事 不过在癌症的桥段处理上有些薄弱 亚裔演员的定位也有些薄弱 没有深度 ,3
阿里点映 依旧还是暖暖的感动 没有情感大波澜 就是缓缓流淌的融化 狗的视角给你欢笑和泪水 阿里还是很会选择电影的 绿皮书到一只狗的使命2 温情不失感动 值得去看 ,4
为了完成一个使命 这条狗用四次转生机会 结局有泪点 但仔细想 情节硬推流于俗套 煽情式感到 虽如此 温馨风格仍然可以推荐家庭观众观看 PS 有家长在两次接吻镜头 用手捂着旁边小孩的眼睛      ,3
其实也可以叫 一条狗的回家路  和第一部模式相同 但巧合有点多了 不过依然让我泪奔 看结尾 贝利和伊森在天堂重逢了 似乎不再轮回 是不是说就没有第三部了 有的话 我还是会看哒 ,4
看过第一部 真的是超级感人 狗狗真的是有灵性的 没想到今年竟然能够和北美的小伙伴同一时间看小条狗的使命2 延续第一部的家庭线 莫莉真的是看哭我了 莫莉对CJ的感情line对爱狗人士来说 真的是看的非常的揪心 还有这一次竟然看到了Henry刘宪华在里面主演 没想到音乐天才少年演技竟如此自然 怪不得被导演一眼相中 加上加拿大籍华裔英文沟通无障碍 悄悄说一句说英文简直太苏了 未来可期 期待看到Henry更多的作品 ,5
哈哈哈哈 还是熟悉的味道呢,3
两个人看的1 现在一条狗看2 自觉地选择了一个人包场的时段 突然暴雨飞摩迟到十分钟死爸部分 可爱小女孩长大后房间里海报之一是我总局桐木腰腰加一星 竟然也是美帝同步上映的 女主还不错 几首配乐也不错 按你胃 打死不离伊森家,3
流水的渣男 忠心的狗 ,2
这续集拍的真是多余 除了狗狗以外没有任何能打动我的点 比第一部差太多 看到最后才发现那个亚裔是Henry演的 ,2
我寻思着男主也太像孙兴慜了 你不好好备战欧冠决赛你拍电影干什么玩意儿你告诉我啊喂 ,2
还是很催泪 最爱狗狗和丹尼斯的戏 cj 妈妈 男友的戏有点俗套和刻意 ,3
暖,3
剧情太无聊了哈 情感推动也不够 ,1
狗需要陪伴 人也一样 和第一部差不多 作为一部狗片 中规中矩 没什么差错就是了,3
不争气的哭了好几次 以及居然get到大华的帅气 ,3
看完老头儿今年的那个恐怖片 就再也没办法把他和慈眉善目的老头联想在一起了    总感觉他随时会变脸 摊手 ,3
女的大绿茶 男的拎不清 狗狗死脑筋,2
公映,3
意料之外没有烂尾 I ll always be with you感人 PS看大华的第一部电影就有吻戏了 这让彭彭情何以堪啊 ,5
角色刻画空洞 剧情  有剧情么 虽说是狗片 但也不能这么狗血吧,2
延续了第一部分剧情 小狗贝利继续完成主人带给它的使命 贝利每一次轮回带给了我们不止感动 还有让我们明白狗是人类最忠实的朋友 也是人类的守护神 看完第二部真的很希望能有第三部 这类型的电影真是百看不厌 最后再说一点 导演选角的时候非常的用心 男女主角小时候和长大的样子简直是一个模子刻出来的这点非常的不错 ,4
狗尾续貂,2
还久没看过这么难看的电影了 跟小学生流水账一样 ,1
带着四星的期待 看到了五星的治愈 温暖  评论区真的很严格 严格到我觉得以后是不是该屏蔽他们了    对于同样配方的电影 剧情节奏啥的都没有跟第一部相差很大 温暖之处随处可见 导致看的我始终嘴角上扬  那种狗与主人之间相互的爱 真的很令我感动 嗯 毕竟我也喜欢狗 最终一家人温暖团聚的场景我可是期待了一个小时 满足了  关于酗酒妈妈 我想吐槽 真的不是卷福演的吗   ,5
续集水准依旧 毕竟 老友记 导演出手 三十三世的主人与萌宠情缘 熟悉的配方还是很好哭 影片中的狗狗简直万能 它可以守护你不受伤害 可以让你修复亲情裂痕 可以帮你不从垃圾堆里挑男友 可以使你振作起来向前看 一部好片 我很喜欢 刘宪华表现挺意外的 一众欧美演员中没有违和感 ,4
狗格分裂 最后说它叫贝利 又叫什么 吧啦吧啦的   又变成恐怖片 ,1
刘宪华的表现出人意料的好 ,3
这个系列电影佛教徒怎么想 一条狗一直轮回一直当狗    ,3
在伦敦看的 非常感人,5
刘宪华是搞笑担当吧哈哈哈哈哈哈哈哈哈哈哈哈,4
狗片就是很好哭 ,3
"对于我的彩蛋 贝利变成莫莉在地下室待着 一闪而过的电视放着的是老友记 电影吧 还是第一部那个套路 ",3
很好看 太感人了 最喜欢最后的那只小狗狗约克夏 哭的用了一大包纸巾  ,5
流水帐之假如 有来生  ,3
贝利贝利贝利 henry秃头了呜呜呜,5
大华的表演有亮点哦,5
henry的出现对于中国观众可能算是个彩蛋吧 不过这类型的电影向来不需要什么剧情 看狗狗然后哭就行了 btw女主小时候和长大都挺美 ,4
看完老头儿今年的那个恐怖片 就再也没办法把他和慈眉善目的老头联想在一起了    总感觉他随时会变脸 摊手 ,3
公映,3
刘宪华的表现出人意料的好 ,3
这个系列电影佛教徒怎么想 一条狗一直轮回一直当狗    ,3
伊森和汉娜 和狗狗的镜头超有泪感 眼泪在影院憋的呀,4
贝利贝利贝利 henry秃头了呜呜呜,5
基本延续了第一部 一条狗的三生三世 的故事套路 从爷爷到孙女 从 My boy 到 My girl 贝利一直坚守着最初的承诺守护在他爱的人身边 有一瞬间 我真的很感动 我在想 我在路上逗过那么多的小狗 会不会其中有一只就是小时候外婆家的那只小六花 她闻出了我的味道 认出了我 满地转圈圈或者舔我的手 可惜我却没有认出她 很多人似乎都觉得 加上第一部的剧情 贝利总共投胎了七次 但是始终却只愿意一心追随伊森一家显得很无情 这番言论真的听得我毛骨悚然 贝利最初的出生就是在伊森家 他理所当然就会把伊森当作自始至终的家人看待 之后遇到的主人自然就更像是客居了 你难道会因为在别人家里客居十年就轻易把别人当做家人吗 什么样的人的眼里 就会看见什么样的世界 ,4
狗片就是很好哭 ,3
女的大绿茶 男的拎不清 狗狗死脑筋,2
"对于我的彩蛋 贝利变成莫莉在地下室待着 一闪而过的电视放着的是老友记 电影吧 还是第一部那个套路 ",3
角色刻画空洞 剧情  有剧情么 虽说是狗片 但也不能这么狗血吧,2
狗尾续貂,2
流水帐之假如 有来生  ,3
大华没头发没眉毛的造型真厉害 总体还是很感人,3
身边的男人早已默默流泪,3
大华的表演有亮点哦,5
A man couldn t be happy without a dog ,3
我看哭了 我旁边的女生也看哭了 我把自己唯一的纸巾给了她 ,4
我自己就有养狗 看第一部的时候就给我哭完了 第二部在国内定档的时候 就果断买了票 结果带去的纸巾好像不够用 总之还是熟悉的配方 一样的感动 适合全家人一起去看 还有一点吸引我去的原因是因为有刘宪华  刘演员饰演的trent 超级迷人 反正推荐去看 绝对会让铲屎官感动的 ,5
预算 1600万 首周末票房 803万 北美票房 2278万 全球票房 7572万 上映日期 19 05 17 19 07 18 上映周数 9周 分级 PG 最高院线数 3279 北美最高排名 4 发行方 Universal,3
续我狗命 ,3
一样的配方 一样的味道 偶尔尝尝可以 顿顿吃也会烦的  ,3
对这种电影没有抵抗力 结尾也是圆满了,4
与第一部大同小异 有些审美疲劳了 但还是把我看哭了 没办法 狗狗一直就是我的弱点 ,3
趋向狗血 混乱到不行 刻意激化矛盾 工具人 工具狗 逻辑都去哪了 为了让男女主在一起 一些毫无逻辑的剧情真是够了 第一部永远是最好的,3
大华蛮帅的 故事看得人各种不舒服 ,2
看到最后还是很感人 影片给的亮点就是刘宪华 竟然没有很突兀的感觉在影片里   看完电影突然就养条狗的冲动   ,3
看的内部试映会 节奏真的太缓慢了 lxh真的不行    不知道上映之后有没有删改,3
 刘宪华   19 1 22 这一部老实说有点normal 可能和新角色们的演技有关吧  只有和伊森在一起的时候 才感觉这才是贝利真正的使命 因为狗狗我多给一星,3
大华可以的 癌症桥段去掉会好些 除了狗子其他角色都没有任何动机 莫名恋爱莫名分手莫名怕舞台莫名就克服了莫名就有人成了买下纽约CBD套房的小富翁 靠狗偷懒的编剧 另外 有没有人心疼CJ的妈 换做我未必能比她强 ,3
三星全部给狗,3
我还是不作评价了 和第一部的区别 ,3
第一部应该还哭了 这部没感觉 我还想着会变个大型犬来保护女主 没想到是个小狗子 ,3
 A person can t be happy without a dog  ,3
完全比不上第一部动人 ,2
