comments,star
没有Happy death day那种混合类型的惊艳感 故事比较平庸 笑点也不密集 血腥倒是真尼玛血腥  且女主演受欺负乖乖女也太没有说服力了 明明就是金发大美妞 安妮海瑟薇好歹都知道戴个奶瓶底大眼镜啦 ,3
哪个男孩不想和1米9壮汉来一个甜甜的吻呢 ,4
用 你的名字 来让观众 惊声尖叫  快乐多于恐怖 女性能砍半边天 早知道导演是同志 没想会看到公然搞基 男女主互换身体后女主负责大杀四方 男主表白暗恋小帅哥 整个片的节奏就是时而粉红时而飙血 故事性不如 忌日快乐  但青少年恐怖喜剧这条路是越走越宽了 I want MORE   ,4
Slasher电影来到LGBT时代 怀旧类型与时髦话题携手共进 较之 忌日快乐  叙事变得简单 乐趣来自一个个由性别性向出发逐渐上升到反身现实的段子玩笑 女主一家三女战狂魔如同去年戈登格林版 月光光心慌慌  对传统剥削片右倾 陋习 的改造纠正少见的做到了不刺眼 不强硬 不夸张 不过头 真正的无论是从有色种族还是性少数群体中走出来的创作者 不管是拍摄艺术还是类型 都充满着无数令人讨厌作呕的投机卖乖者们所不具备的自然和从容 绝非粗暴的征服 而是细腻的融合 大概是今年最好的美国惊悚片 虽然想想也挺可悲的 ,4
3 5 屠夫的砍人方式 五花八门到堪比死神来了 暗恋对象亲吻还在屠夫身体里的女主 真心是喜欢一个人就是喜欢她的内心 ,3
很一般 杀人狂设定有点类似Halloween里的面具杀人狂 但到最后也没解释这个杀人狂怎么来的 那把有黑魔法的刀到底怎么回事也没说 太多bug了 没头没尾的电影 ,3
没有 忌日快乐1 那么好玩 但是血腥程度提升了不少 几处杀人桥段都还是不错 如果杀的人再多点 观感应该会更好 而且最后强加的一段简直是拉垮的存在 不如不拍 实在给不了四星 还是更喜欢 忌日快乐 一点 ,3
惊声尖叫 十三号星期五 小姐好辣 parody恐怖喜剧的尖叫和搞笑成为影院娱乐的二重奏 不忍直视亲吻胡茬大叔如何下的去嘴啊 ,3
不煩人的政治正確 女性自強不是將每個男性寫成賤人就能將仇男合理化 當然情節或血腥場面都有點predictable 導演也聰明將故事重點部分縮短成一天時間 轉眼就做到電影高潮 此外Kathryn Newton及Vince Vaughn演出極之稱職,3
虽然努力用新瓶装旧酒 但还是比较老套 基本就是 十三号线星期五 和 小姐好辣 的融合体 新鲜度比 忌日快乐 大打折扣 血腥程度也比较收敛 整体比较一般  ,2
小妞惊悚片走俏     ❶牛顿饰演边缘高中生没有说服力  ❷灵魂互换诠释LGBT 用武之地  ❸几个笑点的编排有灵气    You re black  I m gay  we are so dead  吐槽恐怖片首杀套路   How do killer do this  吐槽杀人狂的反人类装扮      but I m straight  反向出柜  ❹如果 不喜欢运动 是屠夫在回答 就增色不少而且便于开展续集  ❺没有大问题 缺乏小惊喜 ,3
这种片调子就是喜剧 恐怖 所以重点更集中在笑点 而这片没有 忌日快乐 那麽搞 套路基本好猜 不过以近年来的恐怖片环境 真的不能要求过高  6 75分吧 ,3
这个导演的作品始终非常轻松 娱乐性很好 这部也是结构了不少恐怖片 而且卖了很多梗,3
感谢黑路易5佬悬吧猪栏字幕组联合翻译,3
文斯生确好影技 切换自然 但节奏還是太慢 以這類片来說 又殺得太少  ,3
某些桥段真是笑到打鸣 ,3
可能预告片看多了并没有超出预估以外发展情节但是部分场景还是很搞笑  Vince Vaughn大叔扮小女生尖叫真的是值回生肉  最喜欢杀人魔和gay和他妈妈的戏份 有古早恐怖片的feel,4
有一定的娱乐性 但整体也比较套路吧 感觉恐怖喜剧这个融合的路子也比较有限 相比纯粹的类型片 反而有点左右不沾似的 好笑的地方反而全是LGBT的部分自带的 但是落到情节上的设定就很普通 ,2
