comments,star
还是比较套路的娱乐片 感觉合家欢更适合 剧情本身非常简单啦 速度飞快却孤独的索尼克 与他的人类朋友一起对战反派 并最终和人类成为好朋友 索尼克的展示方式类似闪电侠 片中也致敬了闪电侠和 生死时速  金凯瑞的反派其实设定非常刻板 但是他还是努力 以自己的方式给这角色更多空间 神经质一样的东西 也提升不少 另外 感觉续集也要开始了啊 ,3
比小丑女强多了,4
求生欲很强了 没炸长城,3
感觉我旁边好多游戏党看得超开心的   特别是最后彩蛋的时候 没玩过游戏get到的点真的会少些 本片说成儿童版闪电侠也不为过 这个模型改了之后其实还挺可爱的 圈粉效果至少比之前强多了 中间有两段类似快银时间的片段 还比较有意思 另外一个就是金凯瑞饰演的反派 他一贯的表演风格本来就很能带起喜剧效果 这里面的设定还加上了嘴炮 台词中间还有一些流行元素的玩梗 所以笑点设置方面就还不错 剧情的话还是标准模式的剧本 看了开头就知道结尾 没有出人意料的地方 中间部分比较无聊一些 几个长一点的对话场景都是靠金凯瑞撑起来的 总的来说不功不过吧,3
索尼克的超能力一会儿强一会儿弱 太多冲突了  一秒钟就能往返太平洋 竟然躲不开麻醉枪和炸弹  速度那么快 却因为没有钥匙上不了顶楼  在酒吧里分分钟把所有人打趴下 却打不过一个小小的蛋头博士  你就是一秒钟捅他几百刀都能把他捅死好吗  酒吧那段明显是模仿 逆转未来 和 天启  但是比 逆转未来 和 天启 差太多了  主角的超能力强不强是一回事 导演能不能拍出那种感觉又是另一回事了  最不能忍的是一句 他是我朋友 就让索尼克满血复活 纯粹把观众当傻子 ,2
动画片里的闪电侠和快银 结果你猜怎么着 酒吧里打架还真有快银时间 金凯瑞演神经质反派 也是手到擒来 然后 票房好成这样 续集应该也快来了吧 搏一搏 皮卡变敞篷,3
特别忠实原著  游戏的故事 金凯瑞加一星 消磨时间可以 别考虑细节 ,3
金凯瑞简直就是神经质反派之神 尬舞那一段 还有无处安放的小八字胡真是笑死我了 满身blingbling荧光蓝还带电的小 豪猪 Sonic太可爱了  每次它受伤失落的时候都想一把抱过来撸毛 SEGA的原创角色 感觉如果在东京拍丰田车风驰电掣马路追逐大战会更有赛博朋克的感觉 期待续集  ,4
可看度居然比想象的高很多 可能真的是当初被预告片CG心理落差轰炸给怕的 除去起承转合稍有点不流畅之外 可以说是很合格的爆米花了 有那么点想看续集的感觉 ,3
"索尼克 总结一下就是 有次数限制的奇异博士 长蓝毛的快银 煽情有点尬 为什么他们这样就成为朋友 为什么有些人看见了索尼克会吓晕 有些人则认为他只是戴着面具的小孩子 咱也不知道 咱也不敢问 但我们也习惯了 毕竟这就是一部中规中矩的好莱坞电影 和 大侦探皮卡丘 一样 虽中规中矩 但不显得平庸 影片充满了幽默的气息 笑点也比较密集 还有各种电影的梗 金凯瑞carry全场 把一个原本会显得更加无味反派角色发挥到了极致 也使得这部电影的魅力值大增了不少 ",3
一直跑跑跑 像极了快银 闪电侠 剧情简单 老套缺乏新意 整体中规中矩 和同为游戏改编的 大侦探皮卡丘 差不多水准 个人更偏爱索尼克 电影最大亮点是金 凯瑞饰演的反派 增添了不少喜感 另外 全片有趣的点还是挺多的 奇异博士那样的传送门 开车范 迪塞尔 快银般的慢动作 看闪电侠漫画书 欧比旺 肯诺比 黑衣人  轻松减压 一部合格的合家欢电影 ,3
作为爆米花电影已经很好了 ,4
其实我感觉好莱坞并不真的清楚金凯利的真正价值和夸张表情的银幕作用 让这样一个独一无二的表情天才总在这样的幼稚烂片中浪费人生 其实让我感觉挺痛心疾首的 ,2
Jim Carrey演这种喜剧反派真是太合适了 如果像Rick and Morty那样他把Sonic的配音也一起做了说不定会更有趣呢 ,3
