comments,star
小朋友 我想看狮子的屁股 老师 我们绕到背面去 狮子 对不起我没有屁股,2
四星半 一群人假扮动物园动物的温情故事 能想到这个创意已经不错了 加之温情和有爱的主题 让人觉得值得被拍出来 ,4
树懒太可爱了,4
只有扮动物的段落能看 剩下的都是超级大俗套 ,3
三星半 明知道这个故事太虚假 可还是被逗得哈哈大笑 简直太搞笑了 安宰贤一本正经的帅就有喜感 再加上大猩猩树懒狮子和喝可乐的北极熊 导致忽略了电影想表达的人与动物的关系 只剩下了开心的笑 ,4
笑點的確很開懷 但一到文戲就兩個世界 ,3
韩国人的长相很适合拍这种一本正经胡说八道的喜剧 以后无法直视楚巴卡了 ,3
后面有点乱糟糟 cos动物那些挺热闹  话说有人说安在洪是莲花童子真是很贴切啊,3
之前看预告就被这个概念吸引 看到片子居然实现得挺好 我真的有觉得像真的动物  这点我觉得不可思议 让片子还是有几个爆笑瞬间的 比如树懒姐姐 但片子整体还是挺无聊的 收尾也很模式化 ,3
正峰就是正峰 是不可能变成一个坏律师的 新人律师被派去经营倒闭动物园 这个动物园最大的问题是大型动物都被卖掉抵债了 没有狮子 北极熊和大猩猩的动物园谁会去呢 现买动物也不现实 那就员工来装吧 躲远一点 一动不动 游客基本看不出来 动物园好不容易喘过气来 却要被大集团关闭开度假村 律师正峰需要怎样应对呢 前半部分人装动物有几个桥段很好笑 后面对抗财团就很一般了 可以看 笑一笑没问题 巨型树懒很像楚巴卡 ,3
一个很好的创意 结果拍得非常无聊 故事的套路非常陈旧 情节的带入非常慢 作为核心的假扮动物部分又着力太少 非常缺乏想象力 不论从笑点还是情感上都很难吸引人 ,2
哈哈哈哈哈哈 果然人类动物园 人们想看的不是人喝可乐 而是北极熊喝可乐 ,5
人扮动物挺无聊的 但是北极熊真的 值得北极熊观赏爱好者看一下 ,4
不怎么好看,2
可口可乐有没有出广告费 ,3
cos动物努力生活那段真挺逗的 其他一般,2
3 5 哈哈哈哈哈哈哈nh春节档最搞笑是这一部 假扮动物全程高能 虽然搞笑部分不算特别长 这可能也是评分较低的原因  但该有的玩梗效果真的很爆炸  文戏就是一般的俗套了 没啥好说 主要还是宣传环保  金正峰这几年你到底经历了什么变得这么瘦     其实这个剧组上Running Man那两集更加喜感hhhhhh   可口可乐给了你多少钱 我百事不配吗 ,4
有几个笑点真的搞笑 整体笑点不太够 剧本真不怎么样 ,3
好想看真北极熊喝可乐啊啊啊 编剧为啥不编进去嘛 哈哈  ,3
扮演动物那里真的很搞笑啊 挺喜欢那个女老板的虽然没有几场戏但是好搞笑 在2020还能看到如此合格的喜剧片 值了,5
真的很蠢很好笑 这个时期能让人笑一笑很了不起的,4
喜剧部分勉勉强强吧 主要靠卖那个梗 走心部分并不突出 ,3
6 5 10 分 初看 蓝光 轻喜剧 整体平淡温馨 如果能加强一下喜剧效果 可能会更好 比如代表把北极熊放出来了 到处追人群 等等 估计会更好 ,3
因为疫情 哈尔滨极地馆一天亏损20万 ,3
拍的很是无聊 按照韩国电影现今的开放程度 和此片的孤僻的北极熊 员工扮演动物被人观看的剧情设定来说 理应拍成更有深度的圈养动物关怀 拒绝动物表演的题材的 那样也会拍成韩国很拿手的前面笑死后面哭死 结果现在只是一出流于表面的闹剧 就很没劲 ,2
Tsks凤凰天使字幕组,3
那时候去长隆 看到有很漂亮的饲养员小姐姐在对着两只信天翁说话 就好像和家人一样 顿时感觉很有爱,4
即使有再多零散的笑点也弥补不了剧本先天的不足 ,3
浅层搞笑 深层发省 动物包括人都是动物 天生向往自由 结局是甜的 现实始终是苦的,4
脑洞喜欢 猩猩背着树懒走在树下的镜头也喜欢 北极熊躲在假山背后的怂样喜欢 狮子一直保持正面的笑点也喜欢 最后几方相斗动物园获利变成了生态动物园也喜欢 尿点很多 但有可看之处 财阀形象过于肤浅 其他角色不过是自私又不坏的普通人罢了 ,3
全片最大的亮点是最后那只熊看见男女主理都不想理他俩 海报真的丑爆,3
其中人扮动物的情节 真的要把我笑死了 太搞笑了点吧 很喜庆 有点喜欢 ,4
资本家社会下的保护动物主题电影 玩弄资本的老板强制收购了一间动物园 派了一位实习律师去做动物园园长 要求是确保动物园在未来三个月的正常运营 让一间已经被搬空动物的动物园运营就是电影要讲的故事 但是人类套上动物套装来假扮动物的脑洞 真的是让我既服气又好笑 黑猩猩打砸便利店 树懒在动物园狂奔 北极熊喝可乐 哈哈哈哈哈哈哈哈哈哈 算是中规中矩的韩国喜剧电影 最后还点题般的建了一个生态动物园 不过 生活嘛本来就是应该这样 开开心心 没有脑筋 ,3
这个造假计划有够大胆的 不过都是被逼的 ,3
剧本和表演还是在开场15分钟 不招人讨厌 设置足够的动力 角色讨喜就成功了一大半 后面在意料之中 也可以说是满足观众的期待 商业电影大概就是这样吧 ,3
大概只有二分之一的部分亮眼和有趣 剩下的 可能要遵从一般电影的套路和格式 变得有点闷 像一开始的源头 很无聊 收尾的部分 也很普通 没办法做到一气呵成 有点可惜 不过 还是可以去看看 大笑一场的 喜剧的点的确蛮有创意 ,3
扮动物确实好笑 萌萌的  ,3
正峰欧巴都瘦下来了 你还有什么理由不减肥 ,3
谁不想有一只白极熊当宠物呢,3
喜剧 实则悲剧 其实做的很粗糙也挺懒的 很学生作品 笑点都没有到位 没有很精致 矛盾也是强行增加 但有的地方看得真的很难受 个人觉得这部片 难受才是最精彩的 最棒的点在于 从一开始一直期待黑鼻子过来  黑鼻子过来啊黑鼻子过来啊  直至最后结局 它回头了 但还是不是看她 很难受 黑鼻子一直没有回来 这似乎也是最现实的地方    动物就是动物啊 它怎么会对人有感情 本来三星 加的一星 给结局始终没有向姜素拉走来的北极熊黑鼻子,4
预告就很有趣 虽然起承转合都很好猜 虽然中间有些拖沓 要是能剪短30分钟压缩下就好了 但好几段真的好好笑 白熊喝可乐笑出眼泪w还有保护动物的主题挺好,4
奔跑的树懒 大长腿的狮子 喝可乐的北极熊承包了全片笑点 其他部分就弱了 ,3
全剧节奏特别的慢 唯一好笑的就是大家伙儿傻傻装动物那段 最逗的是狮子 因为短 PS 正峰欧巴瘦抽抽了,2
中规中矩的漫改电影  猩猩 恐吓渣男大闹便利店并拆走监控器的桥段  北极熊 喝可乐的桥段让人忍俊不禁 人与自然和谐共存 何其之难   ,3
开头和简介很吸引人 演技也不错 但是剧本真的太烂了 都什么年代了还搞这么简单的故事 但我依旧看哭了  有人关心过动物的精神健康和移民吗  黑鼻子真的太好哭了,4
哎哟 我的正峰没吃斋饭饿成了这个样子 摸摸头 ,3
故事的核心非常的有趣 能制造不少矛盾冲突 但是开头和结尾非常的冗长 一点也不好笑 导演太想讲好一个完整的故事 但是又不懂得删繁就简,3
整体比较弱 但是树懒做的真好 ,3
搞笑有 不合逻辑部分挺多 情节走向明显可猜 结局符合常规格局 ,3
哼哼 行吧 扯呗 挺好 ,4
还行,3
一本正经的胡说八道 但是人类有哪怕一刻 真正反思过自己与动物间的相处模式吗 ,4
可乐广告不错 哈哈哈 大猩猩把监控也抢走了 ,4
唯一噱头就是人穿上道具服装假冒动物园的动物来吸引游客,2
世人皆言假 闹剧始为真 监控系统被偷走了,3
节奏太慢,3
正峰演戏真的很有自己的节奏 好的那种 ,3
挺好的创意 但没拍好 还成吧 ,3
大猩猩背着树懒真的很有爱啊 北极熊戏真多 如此有 人气 的动物园太好笑了,3
 没有动物的动物园  如果说是漫画改编的 就很好理解了 昨天还琢磨着最近看了很多老片儿怎么都没看新片儿 就看到某资源网公号推这部了 加上最近喂流浪猫什么的 感觉动物题材还是会很治愈的又一贯喜欢 晚上就看了 对对对 也是来看 我是跟白英奎学英语的白英奎啊 的 大女婿老了 但动作还是一样迟缓且人设还是有些弱弱无能自卑的 故事本身么  不能说多精彩 而且情理上也未必说得通 但还是有些出彩的片段 狮子  扮相那里笑疯了 还有大猩猩 砸便利店 最后北极熊待的地方外景好像落基山那边哦 如果能处理得再感动一些就好了比如黑鼻子带着全家来找兽医 韩国电影人物脸谱化还是挺一以贯之的 这部其实更像韩剧风格 对白翻译了片中文字没有翻译还得自己找 第一次用百度云app投屏TV 清晰度可以 网络不好时还是有些卡 ,3
扮演动物那一段好看,3
狮子真的太好笑了哈哈哈哈   这个真的不是可口可乐的软广电影吗   ,3
套路挺老的 喜欢黑猩猩砸店 还有职员恋爱的桥段 其实看完某些桥段的cut了 整部电影也就没什么看头了,2
类型片上的新思维 温情故事的新想法 就挺不错的 观赏性强 韩国人真的动脑能力强 总有或大或小的突破 ,3
正峰欧巴 我要粉你,3
扮动物的片段真的太好笑了 站在路中间的树懒 看不到屁股的狮子 喝可乐的北极熊 笑完之后又回到残酷的现实  动物园这个切入点蛮好的 世间温情和残酷一面都有折射 ,4
人类佯装动物,3
这个电影请跳着看 就看动物园的部分 能笑喷 看着好欢乐 一定一定要看,4
