comments,star
全世界的爆米花都是一个味 铁人出品也不例外 ,3
不用带脑子看的合家欢电影 带小朋友看的首选,3
说实话 唐尼的口音学得不咋地 有些台词口齿含糊不清 这个角色如果给Peter Capaldi会更合适 辛老师和班德拉斯大叔作为反派在男主戏份如此之多的情况下还如此出彩 实力不可小觑 剧本整体就是儿童剧结构 好玩就行了 不要追究深度,3
多一星给童年情怀 还是心太软 舍弃艾迪 墨菲版的现代化改编偏向更加贴近原著的维多利亚时代的雷克斯 哈里森版 彻底回归子供向童书风格 磕磕绊绊的制作过程能有这样一个还算及格的成片效果已经让人意外  退休 后的唐尼表演中规中矩 他的心并不在这儿 走出漫威 身份似乎并未有什么改变 无论是片方还是观众 早已将他困住 甚至包括他自己 ,3
动物们都太太太可爱了  好像rua鸭鸭啊  剧情很幼稚 而且唐尼声音有些刻意 就是看个开心 ps  小蜘蛛是狗狗 马雷克是大猩猩 然后伏地魔大人是大猫 特里劳妮教授是鹦鹉  伏殿只是一个有点受伤的大猫哈哈哈  ,4
私以为 这个外表沉郁 内心柔软 时而疯癫且有些神经过敏的角色更适合由德普来饰演 ,2
3 5星 动物版英雄联盟 ,4
最可爱的奶声奶气的嗲小狮子戏份也太少了 戏份多的动物都不可爱 小男孩牙齿需要整整 ,3
可可爱爱又不低智的儿童电影 所有动物所有人都可可爱爱  感慨以前可能是非常大制作的大量拟人动物捕捉技术 比如 少年派的奇幻漂流   现在已经可以用在一部儿童向的商业作品里了 每当看到这种视效技术的进步和普及 都觉得很高兴 ,3
开篇的动画形式叙事很有特色 将医生的往事快速回溯了一遍 有着大量动物出没的奇幻题材很吸引人 可惜后半段叙事太快 过于简洁 原本我还以为医生的老婆还隐藏在那个岛上呢 ,4
半年没进电影院了 睡得很香 小演员颜值不错,3
动物好可爱 小公主好美 ,3
一颗星给特效 其他真是一无是处 剧情低幼我就忍了 但离开了钢铁侠的唐尼真的不会演戏了 表演做作到令人发指 而且总有种模仿约翰尼 德普的既视感 ,1
所以高潮是齐心协力给龙做了个肠镜  I m too beautiful to watch this  ,2
本来就是给孩子看的 看的很欢乐 不明白为什么那么多打低分的 大概到豆瓣不 深刻 一点拿不到高分 ,5
非要把杜立德医生翻译成 多力特  到底是要这个IP还是没花钱买全版权 小萝卜还是演的挺卖力的 但是和戴普还是有距离 动物特效基本上是和黄金罗盘一个级别 还是看得过去的 但是配音贴合动物就不是特别好 嗓音特色和口型都未很好吻合 小蜘蛛存在感好弱 班德拉斯演得挺好 杰西演的女王给人一点好感都没有 皇室公关形象堪忧 看完给人感觉是黄金罗盘 绿野仙踪 龙与地下城的大乱炖 只图一乐吧 ,3
详略不当 走马观灯 而且糖泥的口齿不太清晰 时常听不太清楚 我看的点映 怀疑不是最终剪辑,3
分数太惨了 加一星 看得头晕 减一星 半年来第一次进电影院 加一星 ,4
在2020年最特殊的时候观影 主题 只有在帮助他人的过程中才能发现自己的价值 也非常应景 ,3
幼稚到难以形容 以这种神仙阵容打底 但是真的有人有演技吗  太失望了 大概连演员的片酬都赚不回来 环球血亏,2
好几个月前就在想象 当疫情远离 影院重开的时候 要选怎样一部电影作为一个新起点呢 现在看来 就这种合家欢的儿童奇幻冒险也不错吧 尤其是和特别的人一起看 能与动物对话的颓废大叔带着积极的年轻学徒跨越大洋到奇妙岛屿寻找魔法果实解救女王的故事 不乏反派围追堵截和宫廷勾心斗角 亮点还是各种动物 话说这反派是个病娇粉吧 最后彩蛋里成群的蝙蝠真是双倍阴影 ,3
