comments,star
骑白马来接你的不是王子 是你姐姐 ,4
请不要在mv里插播电影,3
艾莎看到曾经唱 let it go 的自己害臊的样子 多像文青一不小心看到了自己的当年  ,4
劝各位les小姐妹不要看 最后的美莎可能会让你在电影院发大水   ,4
最喜欢的笑点是克里斯托弗迷雾森林版伤情歌MV ,5
当皮克斯动画越来越有想象力的同时 没想到迪士尼动画已经变得如此平庸 吃老本 不求上进  的确技术更先进了 画面更精美了 但是内核和剧本却严重倒退 华而不实 形式大于内容  第一部中对女性力量的赞美 女性不应该被爱情和婚姻定义 不需要王子也能做公主 正视自己的独特之处而不在乎他人的看法  在第二部通通荡然无存 竟然变成了一部环保片  解决所有问题的办法 竟然是毁掉大坝 迪士尼动画什么时候变得这么说教了  又双叒叕是两个王国握手言和的大团圆结局 好像什么都没发生过一样 俗套得不能再俗套了 甚至上个月同属迪士尼的 沉睡魔咒2 刚刚才拍过  毫无悬念本片票房将大爆 因为它拍得太工整 太华丽了 没有任何问题  但是这种打安全牌的合家欢电影已经看得太多了 我还是怀念以前能看到各种风格 各种类型的电影的日子 ,3
我的意中人是一位ice queen 有一天她会骑着water spirit来娶我 ,5
年度最失望 很难想象和上一部是同一个制作团队 我承认全片画面和Elsa新造型美得窒息 歌也听着还行 但这剧本简直像是用脚写出来的 和前作相比显得偷懒且不思进取 片中困难出现的下一秒就很自然地被解决 角色自身又不存在需要克服的缺陷 像第一部Elsa的角色目标是接受自我  导致戏剧冲突和人物弧光来得很弱  无法让观众对角色产生共情和关心 角色唱歌时所赋予的感情自然便会显得软绵无力 相信票房还是会忽略质量大爆 感叹下迪宝宝真够邪恶的 ,2
尖叫 果然不负期待 续集真的太出色了 剧情技术都能再次刷亮眼球 世界观更宏大 整体比第一部拔高了许多 已经迫不及待要去四五刷了   续集的新歌 依旧很好听 同时更多注入了更深层次的情感 而且每个角色的风格又完全不同 很有梗  Into the Unknown 循环了那么多遍 看到完整版太幸福了   画面真的全面升级 太细腻太精致了 太震撼了 每一帧都充斥着金钱的气息 因为故事涉及风 火 水 石 所以魔法画面更多变有趣 艾莎的力量这次是爆发式强大 那段升级版的变装看几十遍都不够   艾莎安娜的姐妹情 变得更加动人揪心 互相守护的爱让人不禁泪目 反正elsanna给我冲就对了 还有个惊喜 就是给雪宝 克里斯托弗 斯特加重了戏份 估计上映后 雪宝会再火一把 PS 前方萌物预警 ,5
第一部 骑白马的王子不一定是好王子  第二部 骑白马的公主一定是好公主 ,4
Kristoff这首八十年代男团mv让我笑到爆炸 剧情就那样吧但是看到姐妹哭我就也想跟着哭啊 ,4
我最爱的姐姐是个神仙女王 我知道有一天她身披白金高定 骑着神马浮云 踏着滔天海浪来接我 我猜中了这个开头 但我没猜中结尾 她居然还送了整个王国给我做嫁妆 迪士尼的后妈为啥这样香 迪士尼的姐姐为啥那样美 有这样的妈妈姐姐 我还结什么婚 ,4
安娜你醒醒   醒醒  你爱的一直是你姐  你要勇敢起来  面对你的性取向   妙蛙种子全场最可爱   ,3
音乐剧 冰雪奇缘之第五元素  你守护自然 我守护你 ,4
满世界都在拍 同妻题材  迪士尼不走寻常路拍 同夫题材 ,3
整体散发着一股续集的温吞气质 大型MV尬唱现场 克里斯托夫则荣登最尬歌手奖项 一个大男人在这哇哇的你有没有走错片场   安娜从黑暗中觉醒的段落 倒可能会成为和 let it go 一样的经典 而全程像穿着婚纱的仙女艾莎搭配上最梦幻的场景 真让人恨不得每帧都暂停下来品个五分钟啊 ,3
第一次体会到脑残粉观影体验 只能说真的太美妙了 虽然续集故事真的很多bug歌曲逊色于第一部人物弧光也无法和前作相比 但当看到女王那些高光时刻 我就全身发软心儿怦怦跳除了闭紧想尖叫的嘴啥也没法思考了 续集完全让女王粉一本满足 迪姬尼真的太懂了 花了最大的力气把Elsa塑造成至美至强至苏的存在 这一次Elsa不再是女王 她真正成为了女神 当她散下头发化身精灵时 当她一抬手就将天地浩劫化于无形时 当她骑着白马乘风而来时 谁能不拜倒在她的绝美冰纱裙之下啊啊啊啊    结局说实话有点无法接受 但回头想想又显示出Elsa这个角色的超然性 前作的她是和世间格格不入的人 但续集则真正把她变成了不属于凡尘的 神  对粉丝来说固然是苏到不能再苏的设定 但同时也担心下一部该怎么编 才能把这个世界观继续拓展下去 ,5
1 Frozen续集 又名 妹妹再爱我一次  当Elsa穿着婚纱 骑着骏马和Anna相拥时候 我被伟大的亲 爱   情震撼了 至于男主 怎么看怎么多余  2 缺点 没有邪魅的王子反派撑起剧情 续集逊色一半 父母之谜这种烂大街梗被美漫玩腻剧情又被套在这部续集上 5分钟一首短MV 10分钟一首长MV 迪士尼想卖碟想疯了吗 这是歌舞剧 优点首先 在视觉上这部电影更上一层楼 对细节更到位了 3 迪士尼画师真的偷懒 竟然把长发公主的宠物模型复制粘贴到这里客串一把 当Elsa让出王位给妹妹离开 晦涩表达了有一种爱叫做放手 如此有内涵的结局也是不容易 给编剧点赞 ,3
骑白马的女王     脑海里只有 啊我死了 怎么破     都忘了拿IMAX的礼品气死我了    ,5
别看 会想买100张ost 别看 会想养小怪兽 别看 会想冬天大半夜冲到街上转圈唱歌 别看 会想买Elsa的全套裙子和手办 别看 会想跟女生谈恋爱 ,3
虽然剧情还是弱了些 但情怀真是大过天 也不知怎么回事 中间几次看到泪奔 回忆起来却没有多少强冲突 估计就是一瞬间的氛围太好 艾莎的新披风真是太美了 我都想立刻拥有   ,5
11 20抢先北美2天上映  头一个小时的感觉是 当今的迪士尼已不需用足十分努力来证明自己 稍稍用用力就有高于同行的产出 所以可能才会开始致敬自己 卖情怀秀肌肉 就像影片的前半段 一流音效 顶级视效 绝美画面 卖萌足情怀够 音乐好听 虽比不上第一部  但前半集故事真的没有惊喜 甚至可以猜到剧情走向  而一个小时过后才是发了力的迪士尼 唱着Show yourself的艾莎真的有首集中在冰雪城堡里唱Let it go的即视感 安娜的觉醒和唱的那首歌也给足泪点 但这个高潮真的太短了 短到Happy Ending到来时我不禁问道 就这样   虽然一袭白纱下马的艾莎真的美到尖叫 但是真的太短了  雪宝是话痨戏精和笑点担当 此外还有只会生出紫色火焰的萌物 可能又是个爆款 最后想说IMDb诚不欺我 三星半,3
迪斯尼现在太大了 电影只能往保守了拍 说难听点 上部像皮克斯拍的 明明反传统非主流但又很真挚 现在还记得第一次看完的震撼 这部像迪斯尼拍的 集合了很多迪斯尼的坏毛病 真LGBT也就罢了 但剧情是亲姐妹啊 你俩这个肢体接触 天天肉麻互相告白 鼻尖对鼻尖的 也太奇怪了  莫名得粉丝向卖腐   把克里斯托弗反衬得很像同夫 剧情主线太弱 但人物情绪又很强 剧情撑不起人物的情绪 显得很抓马昆 最后人物 和衣服 都美出新境界 很符合迪斯尼周边贩子的传统 电影看不好看不重要 迪斯尼乐园的Elsa裙子反正会脱销 ,3
预告片越言之无物正片越烂定律证明之一 由于主线剧情薄弱 精神内核浅显 主题曲远远没有当年的Let It Go 我成功地把高潮的15分钟睡过去了,3
为啥我要看两个公主玩一百分钟塞尔达 ,2
1 前半段MV式唱歌有点满即使我知道这是一部典型的迪士尼音乐动画 2 后半段很好哭 3 有几幕视觉效果冲击非常震撼也很燃 4 主打歌没副歌好听也更不会再有let it go现象级出现了 5 别走开字幕后有彩蛋 6 很好奇第三部要怎么编下去 安娜或许是个谜 ,4
我突然想起了 大话西游  你看 现在是姐姐救妹妹 一会儿就是妹妹救姐姐 ,2
电影是好电影 可我怎么就不开眼 买了零点首映场C位中的C位 狗粮四面撒向我 三次元体验极差   电影嘛 这次的歌 没一首比上部的snowman for the first time in forever和let it go中的任何一首更悦耳 但也都尚可吧  ps安娜男友pov的独唱有点又臭又长   电影四星 加一星情怀分 ,5
6 7分吧 视觉部分仍然表现非常棒 身骑水马闯三关也是叹为观止 音乐整体比上一部有退步 印象深刻的歌曲并不多 剧情方面则是大退步 从第一部的各种反套路开始变得保守和停滞了 影片最大的亮点还是 艾莎变身了 变身就意味着 你们又有新的裙子可以买了,3
相当失望 什么五大元素的 土不土 剧情硬凹 怎么就拐到保护大自然上去了 莫名其妙 而且因为实在是没坏人没冲突 非得把安娜男朋友搞成恋爱脑 把安娜弄成扯后腿的丧气鬼 人设一点都不讨人喜欢 最重要的是 连一首好听的歌都没了 要不要不思进取到这个程度 ,3
2 5 迪士尼审美疲劳,2
作为迪士尼动画的续集 本来就没抱太大希望 结果剧本确实存在很大的衔接问题 情节的功能性大于一切 至于逻辑是编剧最不在乎的东西 反正这是迪士尼童话 用来麻醉孩子心灵的 方便鼠家主题乐园推销产品的 在这类迪士尼童话里 就没有公主们飙高音唱一首歌解决不了的危机 就没有一首歌战胜不了的难题 作为好莱坞最财大气粗的鼠家出品 用不着夸制作上如何流水花了钱 片子的好坏完全取决于一部电影在一系列商品中所处的位置 无尽的三部曲系列中的第二部永远是过场式的存在 在一首首美妙的MV中插播一个故事而已 哦 对了 这部续集讲的竟然是环保 ,2
elsa对00后基佬的影响应该不亚于白娘子对80后基佬的影响吧,4
Show Yourself太好哭了 Elsa新裙装会被卖断货,5
她优雅端庄 善良成熟 有呼风唤雪 冰封千里的魔法  她温柔体贴 活泼勇敢 对家人 朋友十分重视和支持  第一部是追随自我内心 第二部是探寻自我归属  第一部展现美轮美奂的冰雪世界 第二部打开枫叶似火的魔法森林  第一部诞生了史上最友好的雪人 第二部出现了可爱萌系的火蜥蜴  第一部安娜冻住 艾莎用爱感化 第二部艾莎冻住 安娜为爱前行  因为我相信你 胜过相信任何人 任何事  因为世上比山更高 比海更深 唯有亲情  骑马的不一定要是王子 强大的女王同样能做到  逃避是不可能解决问题 自救才配得上女王称号  要勇敢去做自己的女王 才可以释放自己的魅力 ,4
编剧 甲方非让我一年内写出一个新剧本 还要有LGBT元素又不能太明显 那就这么着吧 作曲 别催了我也写不出Let It Go 2 0 给大家唱首复古ballad吧 家长 艹又要买新裙子了吗 还有新角色 这个变色青蛙算一个还是两个玩具那个马也出周边吗 ,3
我强烈要求删掉男主戏份 这男主简直就是个恋爱脑 女二挂件 整个电影除了当车夫求婚尬唱没有其他实质性用途 最后还是吃软饭老婆成了女王 淦 我只要看百合和变身魔法美美美就好了 ,2
歌放得突兀得要死 节奏快得要死 剧情糊得要死 结局敷衍得要死  最尬的是女二跑了男一还在那唱歌k歌之王舞法天男实锤了 ,3
一言不合就唱歌   而且没有一首印象深刻的  克里斯托弗和驯鹿那段真的尬还整那么老长   真的超喜欢Elsa女王也很喜欢安娜 不明白姊妹情深非要扭曲成百合的是有什么疾病吗 是同不是同有那么重要吗 Elsa非常强大 足够独自终身美丽的 不需要非要硬凑CP啊哎    ps 以后没准会出雪宝大电影   ,4
艾莎真的是迪士尼有史以来最帅气的角色    帅到不太可能有什么角色能超越了    水上骑冰马的那一段简直可以载入史册    感觉所有的情节都是为了让艾莎变得更帅    好了剧情什么的无所谓了   太帅了    ,4
当今的好莱坞大环境 保守主义大行其道 不到万不得已 意图以出圈的方式大胆创新几乎没有可能 所以作为迪士尼动画电影门面的小公主系列 可想而知当年 冰雪奇缘 的出现是多么难得 它挽救了日渐式微的系列同时 也注定堵死了续集继续突破的可能 在前作塑造的丰富又独特的人物形象之后 续集选择了最为俗套的剧作卖点 身世之谜 元素魔力 这些上世纪美漫早已玩烂的老梗还拿来当作影片特效炫技的前提 至于人物情感的脉络 也基本原地踏步式的承接了前作 而在逻辑性和翻转趣味上都是坍塌式的倒退 而对于小公主系列最标志的唱歌部分 本片竟然首次真的出现了仿拍MV的桥段 当然创作者可以说这是一种幽默戏谑 但从文本容量上来讲 就是本片剧作核心内容单薄的最直观体现 对于曾经让迪士尼做出改变的系列  冰雪奇缘2 显然离理想化差的太远 ,2
迪士尼用六年时间打造出一个沉浸在过去的续集剧本 口水歌都没能贡献一首 大反派缺位后就只能看我Elsa女王独美了 女王骑白马真的美炸  ,3
女人拯救世界 男人沉迷爱情  第一部是伟大 第二部是优秀 虽然从意义上讲远不及前作 过分保守令人有些失望 但场面 特效 娱乐性上都有所升级 音乐一如既往好听  艾莎和安娜 依旧是本世纪银幕之上少有真正称得上榜样的女性角色 而男主的存在感依旧不如雪宝 只能和驯鹿平分秋色 ,4
Anna的敲门声依然是 哒 哒哒 哒 哒 而这次 是Elsa说出了 Anna  do you wanna build a snowman       3 2 时长 是tmd时长 期待这么久太失望了 预告那么精彩 画面简直一流 音乐也比第一部好听得多了 居然正片能离第一部差那么远 而且专辑里明明有那么多音乐好像都没全部出现在正片里 独唱MV式剪辑 结尾草草收场 这情节必须得再加半小时才能挽救 我都做好首映大哭的准备了 你就给我看这个 直接打消了二刷三刷的念头     结果又老老实实总共去看了两场IMAX一场杜比影院 刷了三遍过后 感觉还得接着扣分 精良的制作配上的却是如此平庸的剧本 还有分镜叙事密度太密了 感觉一直都在赶时间交代信息 比迪士尼流水线还流水线 干,3
非常有意思的三件事 1 影片已经不像其它商业大片那样设计反派大BOSS 实际上去看复联四 同样也没有真正的反派  故事的戏剧性冲突是由 历史遗留问题 造成的 祖辈留下的 父权 大坝和最后的 女权 雕塑是非常有趣的一对映照   2 上个世纪六十年代以来 音乐无疑问是承担反抗性的最佳艺术形式 极大量的歌唱剖白人群物内心 渲染情绪 试图给观众带来冲击 但是由于量太大 冲击力反而变差了   3 作为女性符号和女性电影 把男主角写成恋爱脑 就像中国很多影视剧把女性写成恋爱脑一样 没有本质区别 我们不妨通过这部电影 看看有谁在指责影片里王子过于恋爱脑的 能容忍把女性写成恋爱脑 为什么不能容忍一个男性恋爱脑呢 ,3
1 5   虽然还看不到 爵迹2  但是能看到一部技术水平如此精良的 爵迹 姊妹篇 本郭学初级学者深感欣慰 ,2
故事没有裙子五分之一好看 艾莎起初还穿着高跟靴 最后一套装束换了亮闪闪凉鞋 连平底鞋自由都实现了 好评 世间能配得上艾莎的 只可能是那匹马修炼成人形了 难过的是小嗝嗝和黄蜂女都能在续集里找到活着的妈妈 为什么艾莎安娜不能   比起安娜乏味的爱情线 更想看父母爱情 两个跟小凯伊和小格尔达一样的孩子 金风玉露一相逢 不辞冰雪为卿热 ,3
