comments,star
看他们举起手机一直在拍的时候我都感觉到这个国家的完蛋,3
虽然拍的一般 但是人家已经关注对女性迷奸和偷拍视频的题材了,3
完美的影射了胜利夜店事件啊 女性结婚生子对职业的巨大影响也很现实了 ,3
说是喜剧但题材会让人笑不出来 但把这个题材拍的沉重又会让人看不下去 这部电影就是一个融合体 整体还ok吧 在轻松的氛围里给你罗列现实中的残忍 如果现实和电影一样完美 让女性得到更多的保护该多好 而不是让她们一味地自责因自己的失误而让犯罪份子有机可乘 ,3
豹子洞的罗美兰女士,4
电影真的X100非常有趣 美兰女士饰演的朴美英从第一幕出场到最后贯穿全片的重心 剧情上还是典型的韩国犯罪喜剧 但表演流畅度上观感非常舒适愉悦 美兰女士特有的喜剧表演以及完全超出预期的打戏帅到我差点当场昏厥 捂嘴  李圣经和崔秀英两位小姐姐的演技都超出了期待以上 民怨室里三个人的戏份太有趣了 尹相泫和廉惠兰也非常出彩 全片笑点密集 作为韩语并没有很好的外国人 大概能get到80 左右的梗已经笑到脸颊痛 ,5
河正宇的客串就很彩蛋了 罗美兰女士太可爱,3
都没人提到河正宇的客串吗 那个关于偷拍设备的桥段简直就是当年香港喜剧的还魂啊 ,4
我倒希望国内的JC去多抓几个C仔 内裤哥 夯先生 秦先生 小鲜肉这些91P圈以恋爱名义的偷拍性爱视频的PUA垃圾 客串有酒店管理员 河正宇 沉睡的警察队长 成东日,3
很有意思 超级欢脱的一部商业电影 最让人意外的恐怕就是河正宇 安在洪和成东日的客串了 其中 双门洞豹子女士与正峰的对手戏最爆笑 李圣经的花瓶印象很深刻 甚至高于罗美兰 ,4
笑点真的好多啊哈哈哈 不过这么好看的电影为啥评分这么低 ,5
在职场中遭遇隐性歧视的女警 处理针对女性的偷拍与网暴的案件 比想象中好看些  意外惊喜是河正宇的短暂客串 ,3
完全的女性电影 针对关于女性的当下社会中偷拍 网络暴力和职场地位的内容 在创作的整个故事中 依靠两位主演情感的调动甚至类似话剧的表演 更为贴合的是女性观众的感知 这种尝试在动作戏的娱乐之外 充满了女人味 ,3
大陆现实就没有这种警察 现实中的警察就是被辞退 豆瓣评分逗逼 99星半 ,5
三个女人一台戏 是BS夜店和郑俊英给的灵感吗,4
