comments,star
剧情超无聊 尴尬当有趣 除了锤哥都不知道在看啥 西装笔挺的锤哥太性感了 让人合不拢嘴又走不动路 该死的几年前我明明对这种大花瓶男完全无感的啊 ,3
亮点  1 打外星人是主线 还有一条抓内鬼的副线 虽然内鬼不难猜 但过程很有迷惑性  2 科幻元素更丰富了 特快列车日行千里 高科技交通工具是 黑衣人3 的摩托的升级 超级武器致敬 黑衣人1 被缩小的宇宙  3 一直以来我们的固有思维都是记忆消除器是对平民用的  本片反其道而行之 有位黑衣人被消除了记忆 很反套路  4 前三部史泰龙 MJ 姚明等人客串外星人 本片则是黄渤客串  黄渤在 疯狂的外星人 里抓外星人 没想到他自己就是外星人 隐藏得很深  槽点  1 所谓的死亡堡垒只有3个守卫 其中2个是菜鸟 还有1个是熟人  2 两兄弟的技能已经超过了科幻的范畴 科幻片变成了超英片  3 大BOSS太容易被打败  4 技术和特效更好了 但失去了当年的灵气和惊艳  不得不说还是前三部最好看 ,3
你们为什么打四星五星我不知道 如果说是因为你锤这个微笑的花瓶那我当然是同意的  但是反过来说前三部不如这个我特么就要生气了啊 ,3
感谢MIB 让看不懂 看不进 也不想看 星球大战 和 星际迷航 系列的吃瓜群众们有了看得懂的 笑出声的 咱老百姓喜闻乐见的科幻大片系列      ,4
黑凤凰里的反派族群其实有两个分支 一派追踪宇宙最强力量 一派串场到了黑衣人这里 继续吞噬本体 追踪银河最强武器 生硬地套了个冒险剧本 用在海王或者塞尔达的游戏里都不违和 外星生物又奇葩又话多 如同低幼的动画 没有千星之城百变舞女般的难忘戏份 麻烦黑衣人帮我把看电影的这段记忆清零 ,1
外星人的跳舞水平 放在 这 就是街舞  里能进全国20强 ,5
没砸MIB的招牌 算是过关 但我够女权了吧 看到 women in black 那里还是笑不出来 如果政治正确成为了创作的首要考虑 那是不健康的矫枉过正 ,3
强行续命 前几部的魂儿全丢了 抛开动画 光说老三部 成功秘方在于设定创意 反差荒诞 J K老少配魅力 类型元素颠覆 黑人文化点缀 其实到第三集想象力已撑不起完整故事 好在有史皇个人魅力支撑 且讨巧地解构了经典文化 所以还算说得过去 这一部真是啥都没了 H M在漫威里就没什么出彩的地方 到这更是毫无火花 只能理解成蹭热度 明明去了很多地方 但人物状态就像被囚禁起来一样没有起伏延伸 重要动作场面基本按第一部复刻 但在设计上差太远 没有危机 没有难题 没有内在冲突 蜻蜓点水的情节编排 幼稚的结构脉络 一切都显得唾手可得 也就变得了无生趣 于是电影沦落到只能调侃 women in black 的政治正确 还两次 可见乏力 看短评区各位托儿的言论反而比电影搞笑的多 居然大言不惭地说 比史皇版更好看  ,2
情节非常简单了 一部低龄爆米花 难掩失望 全片我觉得最好笑的点居然是锤哥甩了个锤子 猩猩怪随便就接住了 2333 美队 你们够了 ,3
3 5  近期商业大片中最好的一部 清晰的类型与节奏把控 眼花缭乱的升级版黑科技 出色的动作场面 配合疯狂带梗的H M 兵兵 想难看都难 在塑造啤酒肥宅形象后 西装革履的锤哥回归到了颜值巅峰 阿斯加德再就业成功 沙漠传话吐槽的段落笑到肚痛 ,4
感觉剧组里有内鬼  ,3
海总接片子是都不看剧本的吗 空有性感能走多远 ,2
不優 雷神與女武神的化學效應太差了 劇本有很大的問題 加上大場面也太少 不是我熟悉的MIB系列,2
哪怕有锤哥迷人的笑容和肉体 这部也仍然是黑衣人系列里最差的一部   ,3
套路集大成之作 主要的问题还是太无聊了 剧本写的绵软无力 连个令人激动的高潮都没有 一直在强行反转强行搞笑 没看过之前的 不过这个质量也是狗尾续貂没跑了 以及说了两次的 woman in black 的女权宣言 可是全片都没有打女性牌 不得不视作一种消费 ,2
这部片子里最大牌的演员是谁 没看之前你绝对想不到,3
对白喋喋不休 对故事大都是无帮助的 一些行动也是对时长的注水 Bug尤其多 举一栗子 摩洛哥那条线 飞摩托 大量路人都没被消除记忆 看完这片我倒想被消除记忆  ,2
非常典型的反传统的搭档设定 锤哥的角色更像一个花瓶 卖颜 搞笑 等待救援 女主则是各种打斗与拯救世界 这在以往则是刚好反过来的 包括片中对Men in Black 的吐槽也是这个意思 影片最大的遗憾还是 恶趣味不太够 挺遗憾的 喜剧部分倒还好 尤其是锤哥吐槽自己的锤子那场戏 虽然预告片里就有 看的时候还是被逗得不行 ,3
D   前大半部分的节奏和喜剧感都拿捏得不错 就是结尾为了走向必然的结局写得稍微有点牵强 属于那种试图深挖立意 但是完成度比较简单粗暴的爆米花 女权主义部分虽然有点精英女性模板但还算自然 至少是一个理性但不冷酷 不滥情但也不绝情的有趣角色 对父权制的诘问没有真正落实到人物关系中但还算犀利 情感催眠与相互麻痹 名望的欲望幻影与科层统治  至少让男性角色的对比也具备了深层的立意 当然了 好莱坞永远不可能真正作出对父权制的批判 只能抹去一些虚幻的象征物罢了 ,3
比老三部完全是渣渣  哥斯拉 崩  黑凤凰 崩  黑衣人 又崩了 六月可以说是经典电影IP狗尾续貂月 ,2
