comments,star
日本新片展1212天山 想问问谁把票转给9排3座5座两位阿姨的 这两位从头至尾聊天吃零食且显然完全看不懂电影 说主人公们 怎么都不读书的  对打架场面大呼 要命了  要死快喽  字幕结束后全场惯例鼓掌 两位感叹 现在小孩怎么看这种东西啊  ,4
被智司相良出场帅飞 开久魂和打工魂一个都不能丢 ,3
爷青结 今井居然有女生喂布丁 ,5
今井有女朋友了 我太开心了   ,5
电影院里笑声不断 果然还是那个傻屌无脑片 无贬义  好欢乐 绝对适合现在这个世道看 开心开怀 特别钟意片头结尾的live场面 让我很high 伊藤的刺头太帅啦 和电视剧版是完全新的剧情 ,5
影帝你不是在书店当店员么   不是说想成为漫画家么   咋出来当小混混了   还长发带刀   电影改的中规中矩 很福田雄一 猜得到结局 只不过最后三酱出来后群架结束的太突然了 ,4
这一部其实弱化了沙雕的部分 倒是增加了热血的部分 影帝虽然演了一个反派 但还是好帅 ,3
剧情比较流水账but每次到爸爸和老师的戏份就狂笑 怀疑很多场次根本没有台词本全靠现场发挥 伊藤好帅   以及演员有在认真笑场啦 ,4
一如既往的沙雕 各种架打的好爽 片头片尾让人爱的不行 ,5
虽然电影版的故事梗概还是中二少年为了爱和友谊组团打新反派 但也正是原著这种中二设定最能吸引人 主演们各种歌舞伎的演绎方式实在太可爱了 特别是贤人和环奈酱 还有清野掐着贤人耳朵那一段太好磕了 五星推荐啦 这个IP漫改会一直追下去的 毕竟这五位主演都太符合原著漫画角色的特点了 大哥大赛高 ,5
最热血段落是开久组回归 沙雕部分最脱力的是软高老师和佐藤二朗 喝茶那段笑死了  发糖最甜是太贺和山本舞香 怎么说呢 有种所有点都打偏了的感觉 但是还是蛮欢乐的 ,3
三橋和伊藤都是一招解决对手 伊藤实惨 每次都得被暴揍 最后的全面战争也没照顾主角 三橋来的太晚 纯粹是抢人头 要说打戏还是理子的比较好看 男男互殴有点视觉疲劳了 票房也破50亿 如果没有鬼灭的话 不过真人映画第一也不错啦 健太郎肇事逃逸后是彻底毁了 想拍续集也只能换人 换人吧 毕竟是真的能续 ,5
今井终于翻身啦 啊啊啊,5
智司相良出场真的帅炸了 影帝太帅太nb了 还是原来的配方 薄弱了沙雕增加了热血 那么问题来了 三桥和伊藤只配上来收人头吗  正如相良所说你真会收割阿,4
新人物真的完全没有笑点 中间为了交代剧情新人物的一大段太浪费篇幅 但是原班人马依旧十分精彩 就是分到每个人身上戏份太少了 影帝好狂好帅 为了舞台挨拶二刷 健太郎真可爱 观感比一刷好 三桥你为什么不吐槽伊藤的头发 4 ,4
继承了和电视剧一样的沙雕 结构有点松散 结尾有点仓促 整体还是不错的 毕竟我是来看桥本环奈和柳乐优弥的 二刷后感觉竹刀女小凉也挺好看的 还没有看的赶紧去网上找zy去吧 已出 ,4
 2020日本新片展 粉丝向 漫改风格鲜明 老阿姨自知已经过了热血的年纪 不过好像该热的时候也没有热起来过 密集的笑点虽然很傻很中二 但好多人一起拍手爆笑两个小时也还蛮快乐  电影院万岁 再一次,3
哈哈哈哈哈哈哈哈哈一样的沙雕一样的配方 果然还是全员蠢哭 ,3
