comments,star
猪鸟一家亲 众人拾柴火焰高 对逞英雄的个人主义着实讽刺了一把 连Nicole Kidman和Keith Urban的两位女儿都出来配音了  查了一下还有Viola Davis的女儿 太多星二代了  这部比上一部好看太多了吧   风格焕然一新 清新鲜活 继续延续上一部的连连经典好歌和流行热曲轮番上演 尽显极致搞怪的爆笑趣味 超喜欢理工型学霸妹子炫舞银   她哥飞镖黄也真的太像快银了 渐渐地也喜欢上了怒气冲冲胀鼓鼓 又贱又自我又可爱的胖红 一飞冲天冲上太空那段配上鲍爷的 Space Oddity  夸张魔幻到难以置信   欧美文化彩蛋也数不胜数 妙不可言  百视达变成 Flockbuster   Crazy Rich Asian 变成 Crazy Rich Avion  终于有人说出 fiancee 和 Beyonce 同音了吗     ,4
不是照明娱乐的电影 却是照明娱乐的风格 善用 卖萌   搞笑 两大法宝  本来对这种动画片已经审美疲劳了 结果比想象中好看一点点 但也只是一点点  电影三条线 胖红等人拯救世界 三只小鸟的寻蛋之旅 以及海豹和小狗  三只小鸟的作用就相当于是 神偷奶爸 中的小黄人 负责卖萌 戏份不多 给人的印象却是最深刻的 感觉会火 飞出地球那段很沙雕  胖红这条线好坏参半 剪微波炉的电源线 两场尬舞 卫生间偷门禁卡等桥段很有意思 也有很多桥段并不好笑 甚至尴尬  剧情只能说中规中矩  要战胜内心的恐惧  要学会肯定他人  要有团队精神 这些道理还是太老套了 没什么新意 还有点说教  深度内涵肯定是没有的 不过娱乐性合格 无功无过的喜剧片  这种电影往往看第一遍觉得还不错 可是不会有看第二遍的欲望 ,3
配乐真贵啊 ,3
Ice Tea Ice cube双关梗 八九十年代流行乐串烧 Breaking locking popping街舞battle 相比第一部 笑点不知道上升了多少个档次 不过整个故事 依然是挺无趣的 一个无聊的007故事 不知道为什么非得搞得这么科幻 如果非要这样不如做Star Wars版呢 ,3
哈哈 Bomb的妈妈叫Momb 还有一本书叫 Crazy Rich Avions  genius  猪老大Leonard全场最可爱 其次才是飞镖黄 他的属性加妹妹的名字终于凑成快银  比三只小鸟还萌的是海豹和狗 挺欢乐与融合的一部 也有许多关于冰块和交通的小创意 但感觉没有第一部好笑 我的超低笑点这次居然没有妥善发挥  不过现在好想去热带岛屿放暑假 ,3
快给小小鸟出番外吧 加上小小猪和小小蛇  因为胖红的故事部分实在是太无聊了 ,3
浓眉胖红也恋爱了 下一部该有小胖红了吧,3
和第一部的水准差不多 还是走低幼路线 超低幼的那种 所以你千万不要用成年人的逻辑和眼光来看这样的电影 因为它摆明了就是拍给小朋友看的 从这个角度看 它的完成度倒是还不错 虽然没什么辨识度的风格 但打打闹闹加上各种无脑的段子还是光荣的完成它的任务 ,2
当沙雕喜剧看勉强合格 该有的类型元素都有 整体也就是照着好莱坞当下的模版套出来的 萌物 女权 family什么的一应俱全  只是比较无趣 当然笑点设计不错  比较奇怪的是一些部分低幼到让人犯尴尬癌 一些部分又有很多小孩子完全get不到的点 也不知道主创的目标受众到底是哪类人 反正我的观感是蛮割裂的 游戏粉和想解压的人可以看 但也不用抱太高期望,3
3 5星 虽然票房扑了 但电影水准比第一集好 却也没有强太多 倒是比爱宠2强 脱离了首部游戏格局的限制 本片可以玩的更high 就是个搞笑 各种无厘头笑料 还有一言不合就跳舞 音乐简直太赞 还有那三只小鸟跟 冰河世纪 里的小松鼠类似 非常轻松有趣的观影过程 只是才过了一天就完全忘记电影哪里好笑了   ,3
7 比第一部强很多 三只小鸟的副线非常有趣 又与主线产生了意想不到的互动 主线的任务也比上一部的故事更曲折和搞笑 最重要的是不像上一部那样瞎吵闹了 看这种片子就是图个乐呵 它做到了 ,4
 6 0 10 毫无意外 就一个 三只小鸟里大概那个粉的 是布鲁克琳 普林斯配的 ,3
