comments,star
皮卡丘还是该用童声配音 用成年男性声线总感觉是在看泰迪熊,3
天啊这是什么沙雕剧情   怀疑创作团队里根本没人玩过游戏或看过tv版 神奇宝贝的技能呢 和训练师之间的情感呢 最后沦为一堆为了卖萌而走过场的产物 ,2
男主角从头到尾没有撸过皮卡丘 一次都没有 他是怎么忍住的  是个狠人,4
恐怖片太可怕了 世界上最可爱的宠物突然像你爸爸一样说话了 ,3
你们能感受到那种从小就幻想进入宠物小精灵的世界到痴迷如今终于见到这个奇幻宇宙梦想成真的激动吗 电影不止卖萌和卖IP这么简单 这是一场纯粹的圆梦之旅 ,4
我居然看了这样一部粉丝电影 还是首映 我可能是全场唯一一个不知道皮卡丘是神奇宝贝的人  几乎完全看不懂 试图理解粉丝们的心理 但是失败了 剧情幼稚并且不讲逻辑  ,1
这个剧本 不如看皮卡丘跳100分钟健美操 ,2
就  除了可爱也没剩下啥 但确实是可爱的 ,3
带脑子看这部片 观感实在太痛苦 在现实风格与侦探主题背景下 剧情实在太低幼了 真心觉得让皮卡丘被附体成嘴炮的主意蛮糟糕的 更难忍的是无逻辑无脑的剧情 设计幼稚的 拍脑袋破案 侮辱观众智商 男主可毫无阻拦地闯入各种地方 各种开挂的不死不伤光环也很过分了 重磅决战戏里 反派所犯的各种低级错误简直浪费比尔奈伊老爷子的演技 也就剩下时不时卖点萌了 改编不是乱编 戏说不是胡说 失败的真人化改编,1
宠物小精灵们从精灵变成了单纯的宠物 除了皮卡丘害挺萌 故事没有看头 ,3
跟其他漫改系列感觉差不多 就是捧着一个好IP 却没有多认真地打磨剧本 不过这只皮卡丘还是可以吸的 第一次说话稍稍违和 习惯了就变反差萌 加一星给可爱的蒜头蛤蟆 ,4
作为游戏改电影 整个故事是比较完整的 但是相对来说剧情比较简单 看了开头能猜到结尾 然而 这一切在皮卡丘 可达鸭 妙蛙种子三萌神面前都不是问题 最后小贱贱出场超惊喜 突然发现他好帅 ,4
表面生气内心柔和的警督宝可梦 空气表演的魔墙人偶 可达鸭从头至尾只能说自己名字的憋屈表情都在传达着 好气鸭  表面卖凶实际卖萌 爱喝咖啡停不下来的皮卡丘 角色设定如此Q 没看过原版也能瞬间被征服  我就要放电电你了哦   人家这么可爱 你下不了手的 皮卡皮卡  谁不想养一只随身的宝可梦 土台龟花园的森林合并大有 盗梦空间 和 奇异博士 的架势  死侍 都开始演爸爸角色了啊 ,4
一个童年回忆中的经典icon 一个青春期故事 一个死去 或失踪 的老爹 一个极其二逼的阴谋 一堆彩蛋 一段不能拉手不能亲嘴的爱情戏 好莱坞惯常IP玩法 最后的结局 总是在拯救地球的同时解决了家庭问题  大侦探皮卡丘  就是这种玩法最没创意 最敷衍了事的一次表现 我真的看够了 ,2
有宠物小精灵的世界太可爱了啊啊啊啊   结局也很可爱 皮卡皮卡 ,5
果然只是借个皮神的皮 硬拗真人版真是很拼了,3
我觉得前几天 泄露 的那个1小时44分钟的皮卡丘跳舞视频更好看 太萌了,3
特效出色 立体化后的神奇宝贝违和感不大 新鲜感十足 世界观有强烈乌托邦色彩 从背景架构到情节安排其实都和 疯狂动物城 异曲同工 但剧本颇有问题 人类角色戏份过多造成倾斜 悬疑段落的关键情节点多次用全息投影 PPT过场  最后一个反转做得妙 圆坑 落位 同时也算基本宣告没有续集了 ,3
对于我们这代玩 口袋妖怪 游戏和 神奇宝贝 卡牌长大的人来说 那些背景里随意一闪而过的精灵都太眼熟了 主角卧房墙上的裂空座 霍华德办公室里的阿尔宙斯 帕路奇犽和帝牙卢卡都能时刻挑起你的记忆神经 连平面形象转制成实物形象都让人满意 相比之下 整个烂大街探案情节和美式少年成长流水 乏味到需要可达鸭和皮卡丘不时卖个萌来化解睡意 剧作层面偷懒到全靠全息影像填充情节和解谜 拜托 编剧甚至不能让人关心主角的父亲到底去哪了 而且美国人是不是以为日本只剩下渡边谦和真田广之两个 ps 地动山摇那段我甚至以为要冒出来一个古拉顿   好吧 想多了 ,3
烂片 瑞恩雷诺兹的儿子居然这么丑 反派弱的要死  全场也没什么笑点 妙蛙种子可达鸭比较可爱,2
问 发现皮卡丘是你爸 和发现你爸是死侍 哪个更令人崩溃 又又又又一个游戏IP改编电影折戟 传奇在影片类型上的飘摆不定 很大程度影响了故事的完成度 硬生生地将一个合家欢内核包装成悬疑动作片 相识的故事却还没有 疯狂动物城 来的可信 宝可梦当年的粉丝都长大了 真的没必要把故事低幼化 三星全给各种可爱的宝可梦,3
蒂姆从小缺少父亲的陪伴 其实不是父亲不爱他 是他从来没有给父亲机会  上次后悔没有上车 这一次做出了正确的选择 弥补了当年的遗憾 扔掉车票 也扔掉了幼稚和固执  露西身为新闻业实习生 她鄙视记者隐瞒真相 虚假报道的行为 然而她却处处碰壁  她身体力行 知行合一 终于凭本事获得人们的认可 发挥了自己的价值  蒂姆发现父亲一直陪伴在自己身边 和父亲和解  露西不忘初心 方得始终  一个收获亲情 一个收获成长  其实父母就是我们的皮卡丘 可达鸭 宝可梦 一路同行 伴我成长 ,3
宁愿看皮卡丘跳俩小时健美操 毁童年豪华套餐又添一员,2
世界觀設計的並不好 說是 人和寶可夢和諧共住  實際呈現卻是寶可夢只能在完全照人類尺寸坐息打造的生活空間內苟存 活似流浪狗滿地跑 寄宿在霓虹招牌和骯髒吃攤 連坐個車都只能借用嬰兒椅 甚是彆扭扭曲 是說渡邊謙現在是華納專門戶 ,2
典型的一萌遮百丑 每次皮卡丘开腔 总觉得是死侍在打嘴炮 宝可梦的质感太像毛绒和橡胶玩具了 渡边谦已经沦落到演这么没有存在感的尬角色了 ,3
无感 囧 不过皮卡丘还是很可爱的 可达鸭也很可爱 蒜头青蛙也可爱 剧情看不懂 比理解中美关系还困难 看完回来撸自己的猫会迸发比平时三倍的爱心 会尝试二十几次试图和猫对话的冲动 多喂了双倍的猫粮 最后登录淘宝下单了它们三个月都吃不完的妙鲜包 完成了消费主义刺激下的冲动爱心购买闭环 ,3
骨子里面和pokemon一点关系也没有 可以看作是对于 疯狂动物城 的一次拙劣的 机械的 无聊的模仿 全片唯一的看点是一个个CG版的pokemon亮相大银幕 其余的时间都是好莱坞式的陈词滥调 而且感觉特效层面也不是特别尽如人意 这种盘子你要不做成R级 要么干脆做成低龄卖萌喜剧 做成这种四不像的玩意儿是想恶心谁 ,2
童年各种可爱的宝可梦现在进入三次元世界 还是能萌到大批姐姐粉 要使劲夸夸美工了 不过看来编剧这么多年毫无进化还在写儿童片 ,3
完全靠皮卡丘卖萌撑完了这部电影  ,3
套着宝可梦系列的世界观 写的是好莱坞最廉价的剧本 ,2
感觉就连卖萌都没卖好 我宁愿听皮卡丘 皮卡皮卡 一百分钟 ,2
Bill Nighy又一次 全果   讲述亲情 爱与羁绊 还有宝可梦激斗 遗憾皮卡丘没有使出更多招式啊 遗憾没有让更多喜欢的宝可梦出镜  贱贱 RR继续抖机灵碎碎念引得哄堂大笑 结局又引人偷偷抹泪  一直是漆皮党的我彻底被这个毛茸茸的皮卡丘萌化 一边看电影一边揉摸着怀里的这只  Diplo老爹第一个一闪而过的镜头就立马认出来了 ,5
根本不需要拍出来的鸡勒片 整个过程都很尬 剧本没有啥嚼头 好莱坞惯常故事汇罢了 话唠皮卡丘 弱智黑人兄弟 八线没用女记者 用老套资本家的那点陈旧阴谋论 囊括了整部电影所需要的侦探悬疑 其实过程都极其无聊 自以为是的幽默感 没带脑子的探案冒险 不到关键时不发力的皮卡丘 毫无意外的强行反转 反正一路走一路编 为了其故事的合理性和价值观一直在扭转再扭转 最后经过缤纷大战 大家都找到了自我价值 收获了光芒 顺带维系了亲情 抓住了爱情 要不是瑞恩 雷诺兹玩了把配音和角色互换的梗 我是对这个电影没啥好感的,2
像成龙的蒲松龄一样 侦探戏可以忽略不计 资本家的2B阴谋 患难后的父子谅解 这种设定老到不好意思叫它新片 ,2
硬伤不少 可达鸭最萌 不接受反驳 你肯定不想知道 其实皮神是  ,2
踢一脚鲤鱼王就能进化 跳一下可达鸭就会爆炸 不要测魔墙人偶自愚的空间 不要提可拉可拉忧伤的往事 甲贺忍娃腾空化身武士 土台巨龟遁地自成山峦 不用说话妙蛙种子便知你全部心意 不怕失眠胖丁总能助你今夜好梦 车祸现场的真相用全息影像可以还原 人类与宝可梦的牵系却不是一管喷雾就可以抵消 ,3
皮卡丘 i am your father 非常中规中矩的合家欢电影 皮卡丘恶意卖萌可耻 我也想要一只可达鸭啊 蒜头王八好可爱 特意看的日配版 皮卡丘配音是西岛俊秀  长毛的皮卡丘根本不算什么 播片前放了长毛的索尼克预告片简直就是精神污染 ,3
各种套路拼装的大电影 毫无宝可梦系列见识世界 收集萌宠的少年情怀 装了五分钟黑色电影 然后久进入 死侍 我爱我家 模式 以为是一部 谁陷害了疯狂动物城的黄兔子罗杰  但实际是则是另一部 老男孩  只是没想到连皮卡丘都可以变得油腻 ,2
作为游戏粉丝不太好评价 其实大多数情节都挺忠实原作的 一方面宝可梦数量 种类的确可观 也能看出制作组对游戏有一定研究 细节做得不差 长尾怪手的 捡拾  暴鲤龙的 威吓  说创作团队没玩过的肯定是自己没认真玩   但另一方面 宝可梦数量虽多 却基本没有发挥空间 沦为走马观花的背景板 镜头设计乏善可陈 继承原作缺点的剧本也浪费了这个有发展为科幻轻喜Neo Noir潜力的设定 依然是个人物鸡肋 情节能一眼望到头的儿童侦探剧  主要的问题还是在原作选择上 虽然 大侦探皮卡丘 本身确实是适合电影改编的AVG 但剧本和设定都过于羸弱 如果非要弄一部旁支作来当改编第一炮 还不如拿 宝可梦x信长的野望 拍魔改时代剧 或者用 不可思议迷宫 做3D动画呢  为什么至今还没有剧作家出手漫画special系列  ,2
难道没有人发现主线剧情和疯狂动物城是一模一样的吗 探案二人组 看上去是良民的幕后boss 宝可梦 动物 反过来袭击人类 然后皮卡丘被塑造成一个典型的好莱坞贱萌宠物 泰迪熊既视感  虽然最后用死侍的梗来圆 但是真的毫无逻辑了 ,3
岛国当红假面骑士演员出场时我喷了 ,3
不喜欢这作的设定 ,2
 C 怎么说呢 口袋妖怪的世界观搬到大荧幕上真的很令人惊喜 各种口袋妖怪的真人cg也很值得称赞 小贱贱的配音也相当给力 但抛去这些噱头 本片仍然只是一部好莱坞三流剧本的 鸡肋流水线 大片罢了 不比 环太平洋2  游侠索罗  大黄蜂 等片好到哪儿去 也就这样吧   ,3
主要走萌系与可爱风 瑞恩雷诺兹的配音还是挺不错的 以及看完专门查了下男主的父母 ,3
剧本简直侮辱观众智商 如果不是毛绒绒卖萌 价值2星 传奇可以原地倒闭了 ,3
和预期的一样平庸 既然要走剧情俗套的商业电影路线 为什么不干脆多讨好讨好观众 为什么不索性多放些招式特效 比如水箭龟和耿鬼的打斗场景完全可以做得更好 结果到最后也就皮卡丘放了几个招式而已  拜托了 能看懂伏特攻击 电球 踢鲤鱼王会进化 百变怪的眼睛这些内容的观众 有几个是携家带口来看温馨亲情的 大家都是来看宝可梦的 谁特么要看人啊 ,2
比尔 奈伊叔叔饰演的大反派算是史上最弱的反派了 想要秒杀打败他 只需要走过去从这个死瘫子的脑袋上取下那个弱智的道具 有残疾人又把自己当阿凡达了 本质上还是北美青少年电影这个类型 把精灵宝可梦的世界搬过来 也跟这类青少年题材的奇幻片无缝对接了 再把死侍这个小贱贱的人设强行移植到皮卡丘身上 加上美国主流商业片里的万年父子梗 通通都是流水线热门元素的调配 套路满满 但怎么看都是一场稚气的把戏 现在只要一看一部电影把自己包装成青少年电影 就知道不用浪费时间了 这种类型的奇幻片再怎么拍 也翻不过暮光之城这座商业大山了 也没觉得这些小精灵好看 最好看的难道不是最后的老爹瑞恩 雷诺兹吗 ,1
有生之年居然能看到竹内凉真和Chris Geere 出现在同一部电影里  啊要是全世界的大叔都能变成毛茸茸的皮卡丘就好了,3
皮卡皮卡皮卡皮卡皮卡  好吧 真的很可爱 但是剧情实在也很没劲,3
和谐共处的乌托邦城市 侦探故事为主线 会让宝可梦发疯的药 闯入关着宝可梦的实验室 本来以为是好人的结果是最大反派  欢迎大家收看 疯狂动物城 的真人版之   精灵宝可梦     相比于会说话的爸爸 我还是更想要会说话的皮卡丘   开场的日本宝可梦训练师是男朋友竹内凉真    ,3
扣分点1  这部电影本质上根本不是在 还原宝可梦世界   而是给出了一个 在现实世界中如果添加了宝可梦要素会是怎样 的方案 扣分点2  明明能够做到展现体育馆中训练师们用宝可梦互相战斗的情景  甚至让女主角打扮成非常自然的训练师的外观  但全片以主要的篇幅 正面的态度来展现的 更好的 更正确的 精神内核  却完全的否定了精灵球和宝可梦的战斗要素  自以为是的搞了个和游戏世界观完全冲突的莱姆市作为故事舞台 扣分点3  结果全片唯一一场正经的对战竟然是耿鬼vs水箭龟  剩下来的 动作戏 几乎全是各种逃跑  绝了 扣分点4  工具人超梦 最后超梦大回复就当一切无事发生的时候我真的喷了 加分点1  然而无论如何  本片展现了大量的可爱度还不错的3D宝可梦,2
宠物小精灵吸的是什么 Rush吗 有那么多种可以改编Pokemon的方法 为什么一定要选最色情的那种 ,1
一切剧情尽在预料之中 除了pikapikapikapikapika太可爱了                 ,5
珍爱生命 少闻rush,4
非常工整的teenager movie 所以没深度没内容没演技 女主的无实物表演太僵硬 影片类型也是喜剧片悬疑片动作片灾难片杂糅的四不像 小贱贱配音的皮卡丘几乎为唯一可看度 最后的彩蛋也让人笑出腹肌  确认过眼神  翻译老师又顽皮了 ,5
可爱可爱 皮卡丘不会说话之后可爱多了 ,4
这才不是pokemon电影 毫无原作精神 片中的pokemon可以被任何东西取代 核心依然是浅陋粗暴的美式爆米花 这么改编简直是种侮辱 好莱坞到底能不能放过日本IP了   很多属于二次元的东西 还是让它们留在二次元吧 ,1
太难看了 纯圈钱电影 以为电影能构造一个口袋妖怪的世界 结果拍的什么玩意儿 进城时基本就是动物城的翻版 去看这部电影就是想看更多的小精灵好么 对所谓的家长里短少年成长并不感兴趣好么 给我看一场训练师对决挑战场馆赢得徽章我会比这兴奋一百倍 剧情还完全没有逻辑 反派的智商低到我感觉自己被耍了 大叔皮卡丘就是文明版泰迪熊 小贱贱也不能挽救 ,2
皮卡丘也是过于萌了导致无论情节演什么悲伤也好愤怒也好全场包括我都只会对着他的毛脸蛋被萌到怪叫 当然这种小学文艺汇演式的情节看不进去也并没有什么影响就是,3
如果是别的片子 这个完成度我可能也就给三星 但没办法 是宠物小精灵 这IP对我们这一代的影响比漫威可大多了 并且这次让忠粉看得一脸满足 就连超梦回血这种70级以后一定会忘掉的鸡肋技能都用上了 还有啥不满足的呢 从小的两个愿望 在宠物小精灵的世界里走一走 用超梦的身体打一架 都实现了 最大的遗憾 除了超梦没第二只神兽,4
和动物城的框架真的有不少相似之处 但是细节处理上上真的脱不开游改电影向来的敷衍和粗暴 即便展现了让人眼前一亮的世界观但也难以令人全身心融入其中 我觉得自己算少女心比较爆棚并对低龄段片比较包容的了 但小精灵们好像也没特别多   表现自己和卖萌的时候,3
美国真人版透着一股浓浓的山寨味 二次元乱穿果然还是日本强 皮卡丘找贱贱来配音 让人不知道它下一步是卖萌还是嘴抽   ,3
中规中矩 无聊的剧情连可爱的皮卡丘和蠢萌的可达鸭也拯救不了 看预告就够了 ,3
毫无辨识度的好莱坞流水线作业 除了轮番登场的宝可梦小精灵能拉回些许好感和情怀外 整部电影根本挤不出来多少看点 剧本也写的过分直白俗套 不管是情节和氛围上的悬念 还是喜剧元素的运用 电影都没有掌握到位 甚至连好莱坞一向擅长的家庭情感戏码也处理的很是敷衍 缺少那种偶尔但必要的惊喜和高光时刻   ,2
分全加给一脸萌态的CG皮卡丘 即使借各个宝可梦角色形象配了个俗套与硬扯的无趣故事 ,3
雷诺兹  好莱坞如果只拍美国原创 早完蛋了  已经完蛋了 ,2
男主实在太尴尬了吧喂,2
我发现人们常常见到卖萌之物 就会过分忽视剧情和其他角色 整个世界观架构就很飘渺 我对任何角色都感觉不到真实 它试图用 美国黑色侦探片 的基调去构筑悬念 然而这些都只是皮毛而已 请学习一下 谁陷害了兔子罗杰  ,1
本片秉承拿来主义 套用了 疯狂动物城 的侦破外壳以及 爱宠大机密 里的宠物外壳 情节没什么好说的了 就靠小打小闹卖萌了嘻嘻 ,3
皮卡丘真可爱 故事太烂了 现在的电影怎么都流行反转来反转去和爹来爹去的 没意思 还是泄露版好看 ,2
头疼的可达鸭 畅游的杰尼龟 唱歌的胖丁 小时候搞不清是好是坏只知道很厉害的超梦   一切都没变 都还在那里 想念强行被盖章设计歧视的迷唇姐  但是如串场流水式登场 负责招揽情怀的精灵出场以外 故事和主角都不够出彩 且设定有些中二 抱紧Chris Geere小哥Awww,3
剧情弱智 演员太丑 配音无感  只有片尾还挺萌 at 紫峰卢米埃,2
两星全给皮萌 忙着萌来萌去的 都没有认真放过几次电 整个故事特别是结尾还是引起了不适 拜托 皮卡丘不是一只宠物狗  ,1
好失望啊 套了个最常规的爆米花商业片的壳 中间也没有什么创意的部分 结尾更被累得外焦里嫩 呜呜呜 还我童年  幸好我不是真粉 看完后被超梦圈粉 最想养可达鸭 嘿嘿 ,2
剧情好无聊 皮卡丘真可爱 反差萌和娘口三三绝对有得一拼了  dbq睡眠不足 影厅没开空调特别热 中途又昏睡过去了    ,3
 大侦探皮卡丘 可与 超能陆战队  死侍 一并列入卖萌耍贱的类别里 电影质量不怎么样 全靠主角人物的讨巧支撑 或者说讨好也可以 儿戏廉价的剧本 即使有宝可梦的世界观在 也一样无聊乏味透顶 谁能想到最后瑞恩 雷诺兹是他爹呢 长得太没有血缘关系了 两人在车站相拥的片刻 瑞恩 雷诺兹充分释放了十万伏特的喜当爹能量 ,2
这是个屎 剧情弱智 建模粗糙 演技生硬 唯一的优点是宝可梦go游戏里的联动福利了,2
皮卡丘的萌完全让人无力抗拒 太萌太萌太萌真是太萌了 只是除了皮卡丘以及其它宠物小精灵们的超级无敌可爱萌 在剧情上的话  就真是比较平庸了 勉强达到了平庸的层度吧 因为不是基于动画系列的改编 所以跟最希望的那个样子其实差很远 萌这方面着实让人满足 但是人类的故事线因为比较老套 都显得有些多余了 单独看小精灵们卖萌都比看人类戏的感觉要好 所以 这勉强达到的三星 基本都是给小精灵们的了 ,3
全片都靠卖萌耍贱撑着 一个个好好的IP 在技术和人设都没毛病的前提下 真的有必要拉另一个IP来做噱头吗 我不是说贱贱不好 只是服务对象还是太白皮向 导致全片最燃居然是竹内凉真饰演的   短短几秒钟 已经燃起了做最强宝可梦训练家之魂 或许看日语吹替版感官会更好吧  呃 不 还是这个文本选取有问题  我不玩游戏 但我清晰记得97版的动画第一集 小智因为迟到被迫选择皮卡丘 两人从一开始的相互不接受到最终在雷鸟的攻击下救对方 童年因为这短短的20分钟泪目了无数次 我要求不高 我只要求带给我一些原初的感动 而不是这样的走马观花 so这不是我所期待的改编 and别再有续集了 ,3
萌就是正义 ,3
55 100 我是来看好莱坞大厂牌是如何改编这个ip的 结果不出意料的又是一部找爸爸经典模版片 整个电影的宣发投入 特效制作等等决定了它的目标观众除了合家欢大众观众再不会有其他选择 不过在熬过了前两幕寡淡如水廉价剧情之后 第三幕的特效狂轰乱炸可能会挽救一些困意 ,2
完全粉丝向的电影 我知道你传奇电影cg动画做得好 但欧美对日漫改编一直都有一种迷之审美 比卡丘不说话的时候还好 一听到他老男人 性感的 就萌不起来了 其他大部分小精灵也是 特别是喷火龙的疙瘩  而且编剧对小精灵的战斗力是不是有什么误解 耿斯可以打赢水战龟 皮卡丘可以打赢喷火龙 还有皮卡丘可以伤到超梦梦 有点难以理解 超梦梦能力bug就算了 还居然还能预知未来 有点扯吧 还有 欧美这个小精灵名字不用各自叫声来翻译有点别扭 但故事讲圆了 画面也精美 起码是值3星的 吸盘魔偶那段精彩得拍案叫绝 最后想说 男主有点像公鹿队的字母哥 ,3
哈哈哈哈哈哈评价这部电影 我要套用洪世贤献给艾莉的情话 你好骚啊 当然 让皮卡丘给可达鸭捏脚才是最骚的,4
后期和包装再好也没法掩盖圈钱片的本质,3
儿媳竟当着儿子的面给公公搔痒 是道德的沦丧还是人性的扭曲,3
5 8分吧 各方面都很一般 超梦够牛 绝对的上帝角色 皮卡丘原来原来是 就先不剧透了 你想要的原来一直陪在你身边 最后蒂姆跟小贱贱来了一句 爹地我想和你生活一段时间 哈哈哈 其实我们大家都想和小贱贱一起生活 他配音的皮卡丘一直在哦,3
除了看皮卡丘卖萌可达鸭犯蠢  真 一无是处 的少儿冒险片 电影过后你很难再想得起故事讲了个啥 而且明明用那么牛掰的CG做出了无数宝可梦 导演却压根没想过深挖一下宝可梦社会的背景设定  也不是说这么简简单单拍个卖萌电影不行 问题你别往 A级动漫宇宙 方向宣传啊  另外 男主那么纯正一点混血特征没有的黑人面相 居然有贱贱这么个白人亲爹 美帝现在为了ZZZQ连基础的人类种族特性都不要了 ,2
从皮卡丘出现的那一刻开始 老夫的少女心就彻底爆炸啦 这么萌的皮卡丘 让我怎么好意思打差评呢  皮卡皮卡   ,3
冲着小时候看过 神奇宝贝  顶多算个情怀牌 ,3
抱着只要看到萌物就好的低预期去看也被无聊到睡过去了一阵 还错过了唯一期待的胖丁的戏份 气 怎么可以拍得这么无聊 我看皮卡丘跳舞都能看得津津有味啊 ,2
萌翻 剧情什么的都无所谓了 来自一个根本抵挡不住萌物诱惑的无脑影迷 希望有续集,3
大型皮卡皮卡卖萌现场,4
剧情是比较弱的 男主与皮卡丘 后加入女主与可达鸭 一起去探寻失踪父亲的去向 遇到邪恶老板老头的阻挠 大多数时间都在逃啊逃 皮卡丘和超梦的战斗只有临近尾声时的十分钟左右 皮卡丘与男主 战胜 被老头附体的超梦 使得因吸入毒气变邪恶的宝可梦恢复正常 踏破铁鞋无觅处 老爸就在皮卡丘的身体里 还是一个白人 除了皮卡丘 可达鸭 超梦以外 其他宝可梦的戏份比较少 看点只有皮卡丘的萌 ,3
3 4星 皮卡丘的设定让人想到那部 泰迪熊  整部的亮点几乎只有皮卡丘卖萌 1 皮卡丘一出场全场女生发出那种带气音的高分贝的 嘤嘤嘤 的花痴声 妙蛙种子好萌 2 电影里的世界应该是所有观众都向往的吧 人手一只宠物小精灵 3 逻辑转折很不ok诶 反派永远不灭口 藏有罪恶秘密的基地永远没人看守 超梦也好丑 好像什么生物被退了毛 ,3
除了贱萌真是没找出喜欢的点 几乎都能猜到 看开头入城有 疯狂动物城 的错觉 看了一会以后 这个科幻世界设定 这个父子矛盾和和解 我寻思这是流浪地球啊这是 还有 男女主角是带资进组的么 演技差到我特意看了看选角导演 ,2
我憋着了一个半小时想操皮卡丘结局直接把我吓到阳痿 ,4
55 100 我是来看好莱坞大厂牌是如何改编这个ip的 结果不出意料的又是一部找爸爸经典模版片 整个电影的宣发投入 特效制作等等决定了它的目标观众除了合家欢大众观众再不会有其他选择 不过在熬过了前两幕寡淡如水廉价剧情之后 第三幕的特效狂轰乱炸可能会挽救一些困意 ,2
就 情懷分了 對於喜歡神奇寶貝的人來說我覺得沒什麼好挑剔的 尤其是我這種又喜歡RR又喜歡pokemon的 觀影愉快 劇情有點弱的 算是勉強合格的開篇 會期待再出真人版 不過看這個劇情應該RR版皮卡丘應該是沒了 然後就是超夢有些時候讓我覺得是不是沒渲染好2333,4
从皮卡丘出现的那一刻开始 老夫的少女心就彻底爆炸啦 这么萌的皮卡丘 让我怎么好意思打差评呢  皮卡皮卡   ,3
冲着小时候看过 神奇宝贝  顶多算个情怀牌 ,3
全程高萌 治愈力120 ,4
萌翻 剧情什么的都无所谓了 来自一个根本抵挡不住萌物诱惑的无脑影迷 希望有续集,3
除了看皮卡丘卖萌可达鸭犯蠢  真 一无是处 的少儿冒险片 电影过后你很难再想得起故事讲了个啥 而且明明用那么牛掰的CG做出了无数宝可梦 导演却压根没想过深挖一下宝可梦社会的背景设定  也不是说这么简简单单拍个卖萌电影不行 问题你别往 A级动漫宇宙 方向宣传啊  另外 男主那么纯正一点混血特征没有的黑人面相 居然有贱贱这么个白人亲爹 美帝现在为了ZZZQ连基础的人类种族特性都不要了 ,2
说句实话吧 这种电影 挺恶心的,1
剧情是比较弱的 男主与皮卡丘 后加入女主与可达鸭 一起去探寻失踪父亲的去向 遇到邪恶老板老头的阻挠 大多数时间都在逃啊逃 皮卡丘和超梦的战斗只有临近尾声时的十分钟左右 皮卡丘与男主 战胜 被老头附体的超梦 使得因吸入毒气变邪恶的宝可梦恢复正常 踏破铁鞋无觅处 老爸就在皮卡丘的身体里 还是一个白人 除了皮卡丘 可达鸭 超梦以外 其他宝可梦的戏份比较少 看点只有皮卡丘的萌 ,3
3 4星 皮卡丘的设定让人想到那部 泰迪熊  整部的亮点几乎只有皮卡丘卖萌 1 皮卡丘一出场全场女生发出那种带气音的高分贝的 嘤嘤嘤 的花痴声 妙蛙种子好萌 2 电影里的世界应该是所有观众都向往的吧 人手一只宠物小精灵 3 逻辑转折很不ok诶 反派永远不灭口 藏有罪恶秘密的基地永远没人看守 超梦也好丑 好像什么生物被退了毛 ,3
抱着只要看到萌物就好的低预期去看也被无聊到睡过去了一阵 还错过了唯一期待的胖丁的戏份 气 怎么可以拍得这么无聊 我看皮卡丘跳舞都能看得津津有味啊 ,2
 少儿版死侍  童年的纸飞机 现在终于飞回我手里 微微笑 小时候的梦我知道 ,4
除了贱萌真是没找出喜欢的点 几乎都能猜到 看开头入城有 疯狂动物城 的错觉 看了一会以后 这个科幻世界设定 这个父子矛盾和和解 我寻思这是流浪地球啊这是 还有 男女主角是带资进组的么 演技差到我特意看了看选角导演 ,2
长毛的皮卡丘比想象的萌 话痨的设定也没有那么难接受 剧情没什么可说的 萌就是正义吧 ,3
编剧太糊弄了吧 虽然 原音 皮卡丘真的可爱,2
萌就行了 这个世界观感觉梦想成真了 ,3
宝可梦PPT罢了,3
0剧情 但有1可达鸭 1死侍 还算及格 最大的优点是大概率不会拍续集 以及别告诉我开头那个红衣少年是小智,3
预告太燃 正片失望 故事低龄 只是pokemon皮 全程靠情怀撑 文戏又多 我只是想看升级打怪和对打呀 都没有 只能靠皮卡丘可达鸭妙蛙种子胖丁鲤鱼王   卖萌 神兽也只有超梦 比尔 奈伊叔叔反派用的 阿凡达 模式 竹内凉真最后你爸是死侍当彩蛋直接出戏 分数全靠情怀及格 2019 5 28 6 10,3
恭喜好莱坞又找到了一棵摇钱树 ,4
片尾动画风格的人和宝可梦才是正典 制作团队是不是对 毛茸茸 有什么误解 好多本可以非常可爱的宝可梦 都因为毛发效果显得又脏又乱 可达鸭你就用小黄鸭那种绒毛效果不好 现在这弄得像掉进过泥坑里 耿鬼也是毛乎乎的 就弄成幽灵半透明不好 喷火龙能用类似蛇鳞那种光滑细腻的表皮吗 感觉符合预期的也就妙蛙种子 吸盘魔偶 暴鲤龙 卡拉卡拉和土台龟吧 伊布和超梦也算合格吧 皮卡丘很萌 不过总觉得尾巴得是个光滑的骨板 而且就没放过几次电  更要命的是 其实看的预期就和看侏罗纪世界一样 想要更多更炫更神奇的恐龙 宝可梦 是人围着宝可梦 而不是让宝可梦变成背景 老老实实拍个励志的宝可梦对战晋级不好么 谁要看一个寻父遇怪记啊 且无论侦探还是搞笑部分都一般  倒是之前看了隔壁蓝刺猬PV 所以觉得这部还好了  ,3
