comments,star
十年过去 还是一样的味道  Jesse Eisenberg十年过去也跟没变一样 ,5
有意思的只有网红片头 剩下的则是枯燥乏味的烂梗以及毫无意义的自我重复 ,2
你为什么能survive 因为僵尸吃脑子 你没有脑子0 0 ,3
从 想看 到 看过 历时1844天 holy shit  Eisenberg does not age,4
没见到忍者僵尸有任何作为 有点可惜 4 5星推荐,5
小姑娘怎么胖成这个样子了  ,4
感谢丧尸狂潮阻止了 加菲猫3 的问世 ,3
7分 开头哥伦比亚标志挺搞笑 十年之后重归的续集 妹子都长大了 好在仍然很好笑 杰西的话痨也保持了可爱 而新加入的粉红女孩 则很好地展示了什么叫蠢萌 作为僵尸喜剧 娱乐性仍然不错 不停嘴炮 各种暴力血腥场面 反复玩梗 很放松的一部电影 结尾彩蛋可以 ,3
多久没在大片厂美国电影里感受到如此活泼生猛的娱乐精神了 ,4
正如片头杰西说的  感谢你在无数僵尸片中选择我们 因为我们是最搞笑的  ,5
原班人马回归 话痨程度翻番 续集居然等了十年 既致敬了猫王也调侃了嬉皮主义 连白宫都成丧尸乐园 看到卷毛和石头亲热我   心情复杂 打酱油的加菲猫Murray是真正好玩   ,4
这是索尼预算砍过头了吧  ,2
整体就两星半吧 看的时候一直在想十年前我还在上高中 十年前who care石头姐 现在已经是奥斯卡影后 十年前觉得卷毛还挺前途的 现在就完全过气了 十年前 我还喜欢囧瑟夫 艾伦 佩吉什么的 现在好像也都不知道哪里去了 时间好可怕呀 ,2
十年之后还能再原班拍个续集是真的有趣和厉害 而且还在用上一部的梗且自我吐槽hhh 喜欢哈叔的新女朋友 比夜魔里的夜护角色sexy美丽太多了 编剧细细碎碎地写了一个剧本结果还挺有趣 粉色的Madison还有伯克利新角色也是简简直直的 从来没见过这么emotional的哈叔哈哈哈哈哈真的看得很搞笑 致敬猫王吐槽hippies各种金句满天飞 卷西是依旧的好玩 石头姐表情丰富 这一帮人凑在一起太有趣 搞怪幽默血腥暴力爽 是我最喜欢的僵尸题材电影其中之一了 Murray的彩蛋太逗 ,4
I have nothing against hippies  I just wanna beat the shit out of  em ,4
有点想要一个粉小妹那样的女朋友了,3
十年后的续集 打的是僵尸 看的是情怀 四位主演中三位几乎冻龄 石头妹成了 小胖妹  看来Zombie Land伙食还不错 结尾彩蛋一语双关 石头姐ex二次躺枪 或成最大输家 ,3
三星半 这个系列其实本来就不应该有第二部 创意用差不多了 还在用老梗 连 don t swing don t swing swing 都在照搬第一部 但众星云集一一变僵尸实在是好点子 看到好看演员被爆头也挺开心的 最后talahasse多了老婆还是觉得怪怪的 更喜欢第一部,3
介于三星四星之间的搞笑电影 新加入的几张脸比较亮眼 有几处也确实让人发笑 但是这部名叫zombieland的电影对zombie太不serious了 设定非常敷衍 电影的努力全付诸于营造主角之间的别扭关系和台词抛梗上 最后再来一句不政治正确的comment  阳光小美女 里那个女演员阿比盖尔 现在肥的又蠢又丑 到污染视觉的地步了 加上角色性格不可爱又没有亮点 整部片子围绕着追寻她而展开简直就是灾难,3
新角色有梗多了 无脑blonde超级抢戏 Facebook和Pied Piper两大卷毛大佬历史性会面也太好笑了表扬casting,3
 爱她就要射爆她  哈哈哈 字幕组太有文化了,3
比贾木许的 丧尸未逝 有趣多了 同类型比较好看的喜剧丧尸片还有 僵尸肖恩  僵尸胡安  死亡之雪2  僵尸来袭  童子军手册之僵尸启示录  ,4
唉Madison只是坚果过敏  我还以为Madison谐音medicine 是治僵尸良药呢 ,4
 Is that your sister  好好笑 杰西跟十年前比完全没变 石头姐倒是真变成姐了 剧情很随意 没啥设计 走到哪算哪 不过还算欢乐 ,4
原班人马 有生之年 确实不如第一部,3
世界的扩大和新人物的加入是续集的必然 但对这两点在剧作上的处理太懒散了 失去了点石成金的机会 但整体刻意为之的粗糙感和对流行文化的揶揄依然带有第一部那放肆的幽默感 ,3
还是很喜欢艾森伯格一直碎碎叨的感觉,3
能把丧尸喜剧片拍成右翼propaganda导演这是上头了吧 第一部有多惊喜这一部就有多失望 不能因为确认了自己喜剧片的身份就随心所欲走荒诞线 1的笑点其实是一本正经地用正常逻辑颠覆丧尸类型片的智障梗 这部就明摆着拍一个春晚小品  它曾经是时髦的象征 现在沦落到靠二手段子和三流创意完成作业了 我不可以 ,2
没看第一部直接来看2了 其实杰森 石头姐 光头哈里森这组合我还挺喜欢的 但还是感觉这三个人各玩各的不来电 剧情亮点 特别是比萨斜塔那段真的逗死了啊哈哈 还有开头哥伦比亚女神的逆袭也是有趣的 ,3
为了纪念十周年 这部广受欢迎的丧尸乐园续集又回来了 时间过得真快 上一次看这部电影还是初中 我不敢相信已经十年了 十年间四个主角一直很忙 都被提名奥斯卡奖 石头姐因为在La La Land中扮演的角色而获得了奥斯卡奖 杰西参演了社交网络和BVS成为性感宅男 谁能想到第一部龙套成了海王的媚拉  剧情主要就是闺女又跟男人跑了 姐夫姐姐和干爹寻亲记 干爹也找到了自己的真爱 Witcha终于接受了Conlumbus求婚 四重奏四主角化学反应很好 石头姐却有点高冷了 电影故事十年与我们现实中十年有很大不同 所以电影制作者不能在当代提及太多的东西 尽管Conlumb的确提到美剧TWD是多么 不现实  当Witcha讽刺地告诉Tialla他会给总统办公室带来 真正的尊严 时 又讽刺了川皇 ,4
