comments,star
斯德哥尔摩综合症患者  赤星,3
嘻嘻哈哈的电影 让人唏嘘银幕外 各有各的人生  少女变大妈 好青年变人渣  能凝视这一瞬间 就挺奢侈的了 ,3
这部电影太惨了吧 一年走了两个主要演员 还有一个出轨身败名裂的 这种喜剧怎么看啊 看到都是泪,4
"蹲在地上想了想 达子这回好像骗子收益为零啊 还倒搭进去好多 时间 人工成本之类的 然而依然有个冤大头 又是内谁 内谁也真是 被骗得都骗出感情了 笑死 本集比较偏向于励志剧了 个人感觉比浪漫篇好看 角色超多稍微有点乱 但是全看完之后消化一下又觉得还行 杰西真是渣帅渣帅的呜呜呜 和达子跳了一支舞 看到春马的音容笑貌感慨万千 如果这部片子如期上映了会不会改变些什么 胡子男的laughter 歌词就像献给春马的挽歌 希望他最后终于自由了 希望他在另一边一切都好 ",4
忠实系列粉表示第一次猜到反转 煽情太多  目前为止系列最弱吧  但是就喜欢看新老角色出场打混 行骗天下宇宙越来越大了,3
with ひろあき 感觉翻译成公主篇不如翻译成圣母篇  戏外的反转远远比戏内的更具有冲击性 飞镖女说  死之前一定要见他 春马 一面啊 那里真是一语成谶 说不出的心情 另外竹内结子 40岁  广末凉子 40岁  徐若瑄 45岁 几个姐姐真是一个比一个美啊 ,3
"整体感觉不如 浪漫篇  欺诈手段很老套 笑点也不多 难以想象是古沢良太的编剧 明星很多 但大部分都属于功能性角色 匆匆露个脸完成任务就拜拜 让剧情显得很闹腾 其实以 浪漫篇 的经验看 这些明星也能比较好地各安其事 所以归根结底还是编剧的锅 哈鲁马的杰西就是沦为功能性的角色之一 本来应该是挺快乐和热闹的电影 但越是这样的场合看到哈鲁马越难过 对我个人而言 最亮的地方是徐若瑄说的那句 クソビッチ   当然很不雅了 不知道东出昌大出事对电影拍摄有没有影响 也不知道还有没有续篇 不过今天电影院人流确实是复工两个月以来最多的 看这势头应该还会拍下去吧 ",3
" 07 23 2020 今天首映 熒屏上Jesse在笑在跳舞 我躲在黑暗裡流了大約一公升眼淚 我的天使飛走了 希望永遠自由快樂是你    I love you guys forever",5
看到春马 那么难过 可是他演得那么开心 ,4
这个电影太让人难过了 还是无法接受竹内结子已经离开了这件事 明明在电影里 她还是那么快乐 同样 还有三浦春马 唉 电影本身娱乐性也还不错 热热闹闹的一个片子 ,4
