comments,star
片中有一段永南意珠要從健身中心到對面屋頂 他們丟壺鈴來固定 其中一個永南拿了一下覺得沒有辦法 應該丟不過去 就換了一個輕的 後來煙霧迅速漫上來 一秒瞬間 永南拋了那個一開始放下的壺鈴 順利到對面 我喜歡這個隱喻 那個你一開始舉不起來的自己 總有一天 會帶你度過危險 不要放棄 喜歡所有演員 大家真的很像一家人 吵吵鬧鬧也有真心 ,4
韩国真和我们同一个基因 生日喜宴上礼金的虚情假意的推脱 宴会上寿星一家喧闹的自嗨 宴会后拿着塑料袋打包自助餐的父母 以及当代年轻人中风靡的直播 除了说的话听不懂 做的每一件事都如此熟悉  最后楼层越高越可以首先得到救助 楼层却往往和贫富 和地位紧密挂钩 全程都是穷人们啊 平民们啊 你们努力往上爬吧 爬到顶层 却也发现开不开那扇最后的门 这个如此巧妙的设计 ,3
城市间攀岩 跑酷 飞檐走壁的点子太赞了  而且影片不仅仅是追求视觉层面的惊险刺激 还有诸多对社会现实的思考  肇事者生活不如意 所以就报复社会 这种例子在现实生活中太多了  恐怖直播 讲的也是类似的故事  灾难发生了 有的人第一反应是自拍发朋友圈 最终自食其果  媒体吃人血馒头 派人用无人机拍摄受害者的画面 充当看客而不去帮助受害者 为了流量和博眼球不择手段  网红们在直播平台呼吁大家去救人 自己却呆在家里什么都不做  真正付出行动的却是那些默默无闻的人 用无人机帮忙拉绳子  最讽刺的是 楼层越高的人越容易得救 贫富差距太可怕了  人们没有能力住进高楼 所以只能一路爬上高楼  但他们最终还是没有爬上最高的楼 隐喻贫富差距太难打破了  美国拍灾难片都是搞大场面 韩国不搞大场面也能把灾难片拍得惊心动魄 ,4
全片最大笑点大概是开头主厨单杠耍猴那段 至于后面的攀楼 跑酷 跳一跳 这要是汤姆克鲁斯我也就随便看看了 放到曹政奭和允儿身上 umm太不容易了 演员挺拼的 ,3
哒哒哒 哒哒 哒 哒哒哒,5
灾难片女主 不失控 不崩溃 不惊慌 冷静 果敢 矫捷 但也不超人 不主角光环 会哭 会脆弱 会可爱 会女孩子 林允儿很会挑戏啊 而且她应该流量很高吧 但估计不会有人用流量二字来侮辱她,4
对于新人导演和编剧而言 完成度已经非常高了 电影本身是想影射当下韩国的青年危机 希望激起社会重压下 颓靡不振的韩国年轻人的斗志 正如导演所说 每个人都有一个必杀技 虽然不被人看得起 但到了恰当的地点和时间 总会爆发出惊人的实力 作为曾经的国内航空救援从业者 深知电影中的直升机救援是无法做到的 片中的救援直升机隶属韩国国家119救援总部的特殊航空救援队 AS365和EC225 电影中出现 各2架 1架AW 189 共同执行大首尔地区的航空救援任务 并非电影所说10架 且即使10架也无法应对片中灾难 实际上必须要韩国军方参与 韩空军的第6搜援大队是东北亚最精锐的空中救援力量 中国大陆则更难 仅几座一二线城市部署了极少的全商业化运作的救援直升机 业务和技术水准也属于起步阶段 ,4
7分 虽然抓马一点 但是娱乐性还是很棒的 前面是嘻嘻哈哈的平民喜剧 后面就是全程狂奔灾难片了 高空狂奔家徒手攀楼 很刺激啊 两个演员也不错 很轻松就看完了 ,3
8 6 10 同以 杀人烟雾 为灾难 此片比外国那部 呼吸 拍的要精彩多了 虽整体剪辑上略微跳跃生硬 也间接导致铺垫略显过长 但灾难爆发后基本就没什么大问题了 本就惊喜刺激的高空求生 搭配上种种危机和时间限制后更加提升了观影快感 而适时的笑点缓和气氛也使观影体验不会太累 不过度的韩式煽情外加演员的好演技也确保了影片的质量 作为消暑放松的娱乐用影片 着实再好不过 ,4
三星都给曹政奭吧 允儿跟他有壁,3
韩国类型片近年来的衰退太明显了 主体部分的攀岩跑酷算扎实 两次舍身忘死也挺触动人 将人形牌组成箭头是妙笔 但作为一部灾难片 核心设定问题很大 为了呈现攀岩奇观 将灾难源设定为毒气 不过 毒气太抽象了 向上扩散速度不知 危害程度也没清晰展示 整个惊恐氛围就没搭建好 结尾来了一场雨 就要稀释问题 也太草率 把灾难片拍成了体育片 为了允儿的颜 加满三颗星吧 ,3
一场灾难片速写 寥寥几笔却无没有废笔 深情处停顿 惊险处笔走龙蛇 简化前史 社会 环境等背景矛盾 把这场追逃放置到前景 以点带线带面带出韩国当代社会图景 尽管也有缺点 但能在商业电影的框架下兼顾观赏性 允儿的颜和跑酷设计 和社会关照已属不易 几处神来之笔 1 呼救的学生 maybe影射世越号上拼命呼救却绝望而死的学生们 但这次他们得救了 2 人形立牌组成箭头 3 背妈妈 4 高楼隐喻 韩国电影真的越来越自信轻盈了 ,3
紧张又搞笑 允儿这部表现还是可以的 ,4
很搞笑的灾难动作片 允儿的演技很自然 脸也是真的又小又美 曹的演技很好 两个人都辛苦了 ,4
难看哭 ,2
在元素组合上非常可爱 时新 对于处女作而言是有益的类型尝试 颇具阵仗的大型灾难片作为大方向 但革新掉诸如 烈火英雄  海云台  摩天楼 里那些婆妈煽情 以这个方向中前所未有的脑残沙雕喜剧来定调 具体到情节与视听的拍摄逻辑上又是综艺耍宝式的 但其实越四不像 越闹着玩 就越能够给人强制输入这种包裹着惊悚的俏皮感 包括里面偶尔以闲笔出现的社会讽喻 都是足够油腔滑调的小聪明 惊喜 两位主演也很讨喜 特别是饰演失业废材的曹政奭  印象里这种角色永远是道恩 强森或汤姆 克鲁斯那种风范 真的太需要一个一边哭丧着脸一边卖萌地来做各种极限运动的东方面孔来刷新掉那些 ,3
