comments,star
合着亚裔又一次被刻板形象了 小偷 驼背耸肩缩脖 你们到底要不要亚洲市场  ,3
还挺好看的呀 除了废话和冷笑话有点多 但这就是贺岁档气质的爆米花片啊 我才不要看什么 吹笛子 和 公交车站 添堵 想短暂下清空烦恼 这部是不错的选择呀 而且我非常看好这个系列 并且期待续集 嘻嘻  小乔好帅哦 想吹他笛子 ,3
3 1星 狗尾续貂之作 1 近期见过的最会偷懒的剧本 强行分手 强行忧郁头铁进入游戏 强行杀队友各种送命只为大家都剩一条命 强行到处都是神奇池水 还有 泥马一个关马的地方为什么要弄那么多机关   2 笑点依然来自性别身份互换以及黑人唠叨口音 但是废话太多 充满无聊的流水账 3 虽然埋了一个稍显感人的小包袱 但整体依然让人忍不住哈欠连连 作为爆米花电影有点   boring ,3
拍的这么无聊真是不容易 ,2
整個影院可能我笑最大聲   真的好難得有改編經典還讓人愛到如此境地的電影,5
为什么2019年了电影院还有这种电影    你给他票房他能拍到100部,1
人进入到游戏当中成为游戏的一部分的点子很赞 这也是第一部票房大爆的原因 虽然同类电影并不少 但还没有到烂大街的地步  题材是好题材 可惜两部电影都拍得很一般  第一部至少娱乐性过关 续集很显然是编不下去了 强行制造了很多并不好笑的笑点 比如道恩 强森的眼神杀 凯文 哈特打道恩 强森 杰克 布莱克反串  全都是第一部就用过的梗 能不能有点创意  埃迪 迈洛的戏份毫无意义 而且翻来覆去用老年人记性不好来制造笑点 更加证明了导演匮乏的想象力 你除了老年人的记性之外就不会别的了吗  电影最后还想用埃迪 迈洛的友情打造笑中带泪的效果 然而一点也不感人 只是觉得尴尬  既不好笑 也不催泪 唯一的感受是这部爆米花电影比艺术片还沉闷  竟然能把这么有趣的题材拍得这么无聊 也是很不容易了 ,2
依然很懂nerd的心 害怕变老 害怕长大 想要活在虚幻的世界里 老头对他说 getting old sucks  要记住 大学就是一生中最美好的时光 从此今后你的人生就是急转直下   竟然觉得这部分比游戏正片好看很多 ,3
灾难  1 尬玩 第一部有梗有感 第二部套梗套感 没了魂 说好听了是开放世界 说难听了是没有世界  2 尬聊 四级水平的英语对话 废戏太多 重复的笑梗太多 演员一撅屁股就知道下一秒要发生什么  3 尬演 老弱病残被描成拖团队后腿 亚裔成杂耍型小偷的刻板形象 这回怎么没人出来喊 辱华  还是川普投资了电影 ,1
其实这次角色置换对大家的演技都挺有挑战的 我只能说杰克黑is fucking legend   Kevin Hart表现也还行 第二部明显感觉是有钱了 但Jumanji这个游戏是真的无聊啊 要不是大家这么卖力搞笑我是看不下去的 ,3
12 04观影  续集开启自众主角重返游戏 那重返游戏的动机必定是个值得关注的点 但很可惜 这个动机就是没拍好的地方 男主想 回到在游戏中无所不能的样子  有点强行  游戏角色顺序打乱带来反差萌和笑点 但并不太出彩 部分也有点尬 上一集一些优秀的梗反复玩 不新鲜 但游戏剧情也确实有升级 看得出还是用了心 游戏中实现角色互换是个亮点 也成功带来笑点  然后想说 银河护卫队 开了个 打戏时加入复古动感十足的背景音乐 的好头 惊奇队长沿用 这部也沿用 效果百试不爽 但中间铺垫那么多塞那么多梗 结果Boss死那么快 真的有点头重脚轻浪费表情  虽有 现实中不如意的人在游戏中重新找回自己 中心价值呼应 但看完之后还是觉得前作更佳 片尾彩蛋埋下第三部的梗 野心不小 但如果能在大陆票房大卖 也不是没有可能,3
普通到硬夸都夸不出来 ,3
虽然还是同第一部差不多的配方 但拿着三条命当儿戏的各种作死和违和的亚洲飞贼角色实在让人有点反感 只是到最后的那句 Getting old is a gift  在今年惋叹了那么多的 英年早逝 后 突然就毫无预兆的击中内心 ,3
俩老头太唠叨了 烦 看彩蛋估计第三部可能是模仿95版勇敢者游戏 动物跑到现实世界中来了 摊手 ,3
浪费了俩小时看这个 没想到强森也能拍这种烂片 这2比1差的不是一星半点 男主在二里进游戏的目的竟然是心情不好 想重拾自我 我擦 朋友们也能第一时间找到他 救他去 两个老人竟然反反复复的叨逼叨一些没营养的台词 还不确信自己在游戏里 还要尝试花样作死 怎么不直接把三条命都用完呢 电影都演一小时了 黑人老人竟然还质疑这是在某个美国小镇上 真是尬出血了 而且慢性子解释真是急到爆 加上各种用十年前的美式老梗 我真心觉得煎熬 我发誓 再有三 我都不看了 太特么尴尬了 推荐大家网上搜枪版吧 别浪费钱了 用拿钱买斤肉不香么 因为强森 勉强多加一星,2
第一部给了满分 这部续集看困了,3
感觉在任何处境下掏出一个老式磁带录音机都代表着 好戏开始了,4
 是不是我讲话太慢了  哈哈 空中吊桥还有点创意 之前竟然没认出来女主凯伦 吉兰就是 星云 啊  Ming不就是许仙转世 哈哈,3
 勇敢者的游戏2 神秘海域 ,3
看到门旁墙上有个蓝色行星行星环 疑似海王星  而且隔壁 星际探索 的类人猿肯定也是打这穿越过去的 ,3
爆米花电影 图个乐子就行了 给强森加一星吧,2
第一部那种新鲜感一过 第二部如果找不到合适的突破点让观众持续惊喜的话 那么就像这部全方位复刻的续集一样无聊平庸 整个故事开始的动机就很偷懒了 角色的死亡也全是靠人物突然不合行为逻辑的作死来达成只剩一条命的危机峰值 而且角色一多起来 到了文戏就在拼命挤压时间来圆那些矛盾和友谊 看得人打瞌睡 还有阿明这个名字 可真是太刻板了 不过放在这种奇幻主题乐园里倒也说得过去 另外 斯宾瑟妈妈和餐厅老板娘可真是风韵犹存 ,2
没有1好看 我又睡着了 ,3
