comments,star
 恋爱开始于欺骗自己 终结于欺骗别人  没想到这么欢乐 身边观众笑成了猪 港片元素融合的也恰到好处  不后悔才是真爱 不要惧怕爱  ,4
根据套路猜对了一半 可是还是没猜到结局 编剧  ,5
反转无数次的娱乐大作 这年头骗个人也得下大成本啊 你看看这豪宅 这医院 这道具 这人工费 结尾的彩蛋绝对Center你敦公然让位长泽D子 甘做洗脚 最后一个pose还捏他了乃木的帰り道は遠回りしたくなる 真的喷了,5
我居然在东出昌大和三浦春马之间犹豫了,3
好看  只要能接受电视剧那种风格 这部剧场版一定能让你满意 浮夸不就是它的标配吗哈哈哈哈哈 另外竹内结子太美了 用时髦话来说就是港味和日系的完美结合 好像王祖贤啊  另外 只有我觉得开头一点也不平淡 从头到尾都引人入胜吗 马萨米和春马那风格怎么那么巴黎  笑死我了 我在东京的电影院看的 没有资源谢谢 ,5
好想被三浦春马这个爱情骗子骗一骗啊 然后转头投入东出昌大老实巴交的怀抱里 ,3
太好看了 一般这种电视剧来的电影都很垃圾撑不住 但这部真的很丰富 最后反转也是超精彩 长泽雅美果然是不可战胜的 这里面连新来的小猫咪演技都很棒 非常满意 春妈太帅了我又第n次爱上他了 最后失败变成小人的样子也是很真实 与此相比东出就是一直都很朴实 没有闪闪发光的帅但是真诚得可爱 怎样都喜欢 ,5
 剧透预警 粉丝向电影 没看剧的就别去了 意料之中又意料之外的翻转 刚开始还说竹内结子姐姐怎么接个这种角色结果我错怪你了哈哈哈 客串简直闪瞎眼 小栗旬全场最高 前田敦子也太努力了哈哈哈 ,5
哈哈哈哈哈哈哈哈哈哈哈哈哈哈 怎么这么好笑 大家一定要坚持到字幕放完 有彩蛋   我前面七条影评的同志们 周末好啊 ,4
开头有点平淡 之后渐入佳境 碟中谍 骗中骗 局中局 反转很精彩 没看过剧版也推荐哦 作为独立电影是合格的 长泽雅美怎么什么造型都这么好看啊 ,4
想看麻酱被结子姐姐骗身骗心 ,4
开场手持那段 麻酱真美啊 ,3
故事背景地放到了香港 场面更大 明星更多 担得起电影版的分量 只是人物关系也更复杂 所以前面的铺垫略显沉闷 但最后结尾的反转还是高潮迭起 令人应接不暇 萨苏噶古沢良太 马必怀被骗大快人心 这角色一出来就是一幅欠揍的样子 关键是欺负我酱的人怎么可能有好下场 东出那段真情告白是意料之外的展开 也是意料之外的好看 那个瞬间我被感动了 虽然后来他说这是演技 不能当真 但真真假假谁又能说得清呢 电影里有一句台词重复了好几次 大意是 人的一生 就是为了追求真爱而存在的 无论他是多差劲的人  这是电影里我印象最深的地方  明明是一部轻喜剧啊 片中很多明星都有客串 他们每一个人出场都是彩蛋 片尾字幕结束后还有个真正的彩蛋 一定不要错过 对了你们的麻酱被喊了两次大妈  她已经熟练地把这个当成梗放进电影里了 ,4
 22ndSIFF 香港电影文化移植得真不错 东出昌大太百搭了 ,4
3 5  行骗天下JP系列的 双高潮 真是一种 惯性式 的套路 每次都差不多 本部也不例外 导致结局完全是可猜的 不过对于一部悬疑喜剧而言 能全程保持住风格与叙事都极为流畅的调性 让人看爽 还是值得给出高分的 遗憾的地方是这次三浦春马 男主角 东出昌大的戏份太少了 ,4
 东宝日比谷店打卡 我永远喜欢长泽雅美   ,5
四个字送给古泽 禁止套娃 ,3
麻酱赛高,4
对于古泽良太惯用的反转套路近乎免疫了之后 观影的趣味就从 被骗 变成了 看你怎么编  反正不是三浦春马是同伙就是竹内结子是同伙咯 毕竟麻酱是不可能输的 不过长泽雅美转型鬼马玩咖之后确实能够hold住全场 配合依旧称得上精彩的故事 整体娱乐性还是有保障的 只不过我从一开始就在好奇到底小栗旬会演个啥 本以为是戴墨镜的前夫哥 谁知道最后      ,4
真是让人心情愉悦的系列 我在每一部里给麻酱和东出抠糖 终于这一部有进展了结果不出意料的是骗人的假糖 所以古沢良太什么时候可以出第二部剧集啊,4
masami又一部代表作 越到后面越好看 没有说开头不好看的意思 其实每次都知道后面一定有意料之中的反转 但还是会有期待 最后也一定会有意外 这次到最后真的是有种行骗 天下 的感觉 大概是因为格局大 古泽良太写啊写的写飞了的感觉 梗也玩到飞起 彩蛋多多 masami就是我的star啊 ,5
恋爱总是开始于欺骗自己 终于欺骗他人 读懂了开篇王尔德这句话 也就读懂了整部电影的题眼 说到底 是如俄罗斯套娃一般的层层嵌套的爱情游戏 真真假假 虚虚实实 香港刘蓝的欺诈背后是受害者对欺诈师团体的复仇 如果了解了他们的套路 那你就会知道 故事一定是反转反转又反转的结构 而最后必然需要一个惊天的反转来给你颠覆 PS 长泽雅美 可真的是太美了 如果说  运势篇 是惊喜的话 那这部就是中规中矩 3 5,3
不知不觉地大家都是老女人了 ,4
我还期待着haruma把东出挤走呢 落泪了,4
百亿钻石套路三十亿现金 可怜江口叔赔了夫人又折兵心里mmp 剧场版熟人太多眼花缭乱的 感觉三浦的加入有点稀释了东出的戏份 其实古泽这回的套路不是那么难猜 最后的akb姐妹诈骗团会玩 Masami在自黑这条路上确实豁的出去 栗子的客串着实令人大跌眼镜 ,3
有的渣男还在镜头里扮作老实人 有的人却不在了 ,4
每次布局花费上亿 达子能赚几个钱 ,3
古泽不负众望 比乒乓球好看多了 写了八百个反转 全程跟朋友 我才不信  肯定不可能 的心态准备 没被骗到但是超级有趣 各种彩蛋登场人物都恰到好处 人生有了新的愿望大概是希望麻酱和结子都来骗我  以及我的阿酱就真的好适合舞台 我永远的center,5
时间线在SP之前 电影版和电视剧 SP都有联动 别错过彩蛋哦 每次看完都觉得烦恼忧伤的事都忘记了会变的特别开心 ,4
如果真的要说行骗天下的 最强欺诈师一定就是豆瓣评分了 被豆瓣高评骗进来的 后悔浪费两个小时  反派男这么装逼还感情欺诈 还没社团大哥有魅力 内奸混入最后被主角们感动就良心发现真心悔过了 那姐们刚在你不知道真相的情况下背叛了你来着啊 几百亿日元的大宝石她丫就明晃晃带着满街逛啊 这样偷来的钻石你也信  槽点太多 表演浮夸做作 剧情扯淡漏洞百出 为了反转反转 为了煽情煽情 全是bug 吐 ,2
 香港爱情故事 还行2333  真正的爱不会让人后悔 不要惧怕爱的存在   恋爱就是骗人或骗己的一场游戏 那些好听的情话都是骗人的 即使如此人还是会追求爱 真是个永恒的谜 没有终点的迷宫 无法看见的真相 这才是恋爱  反正达子怎么说都对ww 其实反转有点套路到可以猜到的程度 希望下部剧场版古沢良太再用心点  anyway卡司阵容强大又全员可爱 彩蛋好玩 可以说是令人身心愉悦的娱乐作了 所以 到底应该站达子和boku酱  star 还是赤星哪个比较好  ,4
看完了 中规中矩吧 基本上TV版的都出场了 感谢导演没有把我和老朱的镜头剪掉 我和竹内结子同框了 哈哈哈哈哈哈哈哈,5
看完最深感受 我真係好撚鍾意呢個地方,4
我的妈 这系列还是一个小时打住比较好哈 必怀每次出现我都尴尬得头疼 ,3
演技浮夸 很多反转但是情节老套 感觉这部电影被下了咒 年初男主出轨 年中男二自杀 今天下午女配自杀  曾经的男神江口洋介已经完全不能看了  ,3
虽然中段有些无聊但是结尾一如既往高能反转 好嗨呀 竹内结子这好看长泽雅美真可爱 小栗旬的客串真是笑死人 ,4
SIFF  冲着长泽雅美来的 结果被竹内结子惊艳了一把 很勉强的犯罪片 当爱情教学片看也没问题 毕竟 在人无法抗拒的事物中 爱排第一位  三浦春马脸长开了 当年热血高校里看着跟春哥似的 现在挺俊可还是奶气了点 所以还是不如东出昌大跟长泽搭 ,4
这种剧在日本比较少见 对所有参与人员也是某种放松吧 ,4
香港浪漫篇 故事框架放到香港 我以为会致敬港片经典桥段或引进香港本土演员的阵容 毕竟行骗类的喜剧也是港片的强项啊 可是都没有 就连演香港人的跑龙套都是蹩脚的日本龙套 说广东话的时候太出戏了 除此以外基本都是常规操作 三大主演依旧出彩 最惊喜是扮演香港女帝的结子呀 太符合角色设定了 很有80年代女港星的味道 四星推荐吧 喜欢这个IP的还是会爱的不行 真的太可爱了 ,4
浪费时间 ,2
说实话 女人不被爱情欺诈就真的无敌了 而男人 美色 金钱 权力  弱点太多了 所以帅哥 财阀 大叔 鲜肉都注定还是要输给达子 ,4
反转很多 各种套中套 有点意思 最美的是竹内结子 隐隐有点王祖贤和宫泽理惠的感觉 最帅的是三浦春马啊不争的事实 牛郎一般的帅 香港的那间大屋子好好看 最后的彩蛋好喜感哈哈哈 ,4
